tn;begin;end
1001011;28.12.2018;31.12.9999
1001012;26.05.1999;31.12.9999
1001014;01.08.2019;31.12.9999
1001015;01.01.2010;31.12.9999
1001019;08.07.2019;31.12.9999
1001021;01.04.2009;31.12.9999
1001028;03.12.2018;31.12.9999
1001030;03.09.2018;31.12.9999
1001032;18.03.2002;31.12.9999
1001034;19.12.2016;31.12.9999
1001036;15.09.2020;31.12.9999
1001038;03.02.2020;31.12.9999
1001039;25.03.2019;31.12.9999
1001045;03.02.2020;31.12.9999
1001049;22.04.2019;31.12.9999
1001051;23.12.2019;31.12.9999
1001052;11.05.2011;31.12.9999
1001053;24.07.2012;31.12.9999
1001054;03.02.2020;31.12.9999
1001055;20.02.2020;31.12.9999
1001056;01.01.2015;31.12.9999
1001057;01.01.2015;31.12.9999
1001058;01.09.2017;31.12.9999
1001059;30.12.2011;31.12.9999
1001059;03.06.2020;31.12.9999
1001060;01.04.2019;31.12.9999
1001061;01.03.2019;31.12.9999
1001062;17.09.2003;31.12.9999
1001062;01.01.2012;31.12.9999
1001064;18.02.2019;31.12.9999
1001065;12.03.2007;31.12.9999
1001066;18.02.2013;31.12.9999
1001067;01.05.2013;31.12.9999
1001068;24.04.2018;31.12.9999
1001069;03.02.2020;31.12.9999
1001070;22.06.2015;31.12.9999
1001072;24.07.2018;31.12.9999
1001073;01.08.2016;31.12.9999
1001075;01.10.2007;31.12.9999
1001076;01.06.2013;31.12.9999
1001077;01.06.2019;31.12.9999
1001078;01.01.2018;31.12.9999
1001079;03.02.2020;31.12.9999
1001080;01.08.2018;31.12.9999
1001081;01.12.2005;31.12.9999
1001083;04.07.2018;31.12.9999
1001084;01.06.2016;31.12.9999
1001085;04.08.2020;31.12.9999
1001086;10.08.2018;31.12.9999
1001087;14.01.2011;31.12.9999
1001088;15.08.2018;31.12.9999
1001091;19.05.2011;31.12.9999
1001093;11.09.2017;31.12.9999
1001094;01.01.2020;31.12.9999
1001096;12.01.2015;31.12.9999
1001097;01.03.2016;31.12.9999
1001098;01.05.2018;31.12.9999
1001099;01.10.2020;31.12.9999
1001101;01.10.1998;31.12.9999
1001103;01.04.2004;31.12.9999
1001103;01.01.2013;31.12.9999
1001104;01.01.2020;31.12.9999
1001106;18.11.2014;31.12.9999
1001107;12.12.2006;31.12.9999
1001107;01.01.2013;31.12.9999
1001108;15.01.2020;31.12.9999
1001109;16.09.2020;31.12.9999
1001110;04.06.2007;31.12.9999
1001110;01.01.2013;31.12.9999
1001111;01.01.2013;31.12.9999
1001111;25.12.2015;31.12.9999
1001112;01.01.2013;31.12.9999
1001112;11.01.2017;31.12.9999
1001113;19.08.2019;31.12.9999
1001114;07.05.2007;31.12.9999
1001116;03.10.2016;31.12.9999
1001117;01.07.2013;31.12.9999
1001118;10.09.2013;31.12.9999
1001119;01.02.2011;31.12.9999
1001121;01.10.2019;31.12.9999
1001122;20.02.2020;31.12.9999
1001127;01.09.2016;31.12.9999
1001128;03.09.2018;31.12.9999
1001130;09.08.2013;31.12.9999
1001131;05.05.2015;31.12.9999
1001132;09.01.2017;31.12.9999
1001134;26.09.2013;31.12.9999
1001135;03.03.2008;31.12.9999
1001136;15.09.2020;31.12.9999
1001140;16.06.2014;31.12.9999
1001141;01.12.2018;31.12.9999
1001142;07.08.2019;31.12.9999
1001144;01.07.2019;31.12.9999
1001145;01.10.2020;31.12.9999
1001147;01.12.2018;31.12.9999
1001148;15.09.2008;31.12.9999
1001149;01.10.2019;31.12.9999
1001150;10.10.2003;31.12.9999
1001151;26.09.2017;31.12.9999
1001152;05.10.2015;31.12.9999
1001153;01.04.2017;31.12.9999
1001154;01.01.2013;31.12.9999
1001154;03.12.2018;31.12.9999
1001156;03.11.2015;31.12.9999
1001158;15.09.2020;31.12.9999
1001159;03.03.2008;31.12.9999
1001160;01.02.2014;31.12.9999
1001163;20.05.2013;31.12.9999
1001164;01.01.2011;31.12.9999
1001165;01.01.2013;31.12.9999
1001165;01.05.2013;31.12.9999
1001166;01.04.2019;31.12.9999
1001167;01.09.2016;31.12.9999
1001172;07.06.2013;31.12.9999
1001174;01.07.2019;31.12.9999
1001175;30.04.2008;31.12.9999
1001175;01.01.2013;31.12.9999
1001176;18.01.2016;31.12.9999
1001181;03.07.2018;31.12.9999
1001182;16.04.2012;31.12.9999
1001183;15.02.2017;31.12.9999
1001184;01.09.2020;31.12.9999
1001187;04.05.2016;31.12.9999
1001190;14.01.2019;31.12.9999
1001191;18.09.2018;31.12.9999
1001192;04.08.2010;31.12.9999
1001193;20.03.2018;31.12.9999
1001195;02.02.2015;31.12.9999
1001197;13.07.2020;31.12.9999
1001201;01.03.2009;31.12.9999
1001201;01.07.2020;31.12.9999
1001204;20.02.2020;31.12.9999
1001207;01.01.2018;31.12.9999
1001208;11.03.2019;31.12.9999
1001213;01.06.2020;31.12.9999
1001215;01.01.2018;31.12.9999
1001216;01.02.2013;31.12.9999
1001217;07.12.2012;31.12.9999
1001218;10.10.2016;31.12.9999
1001220;30.07.2012;31.12.9999
1001221;08.02.2011;31.12.9999
1001222;18.06.2018;31.12.9999
1001223;17.09.2020;31.12.9999
1001224;06.05.2016;31.12.9999
1001225;13.01.2020;31.12.9999
1001226;01.01.2012;31.12.9999
1001226;01.06.2019;31.12.9999
1001227;01.02.2007;31.12.9999
1001229;24.02.2014;31.12.9999
1001232;01.07.2019;31.12.9999
1001233;01.12.2011;31.12.9999
1001234;22.01.2018;31.12.9999
1001235;15.09.2020;31.12.9999
1001236;08.08.2006;31.12.9999
1001236;01.01.2013;31.12.9999
1001237;01.05.2013;31.12.9999
1001239;23.12.2019;31.12.9999
1001240;10.06.2014;31.12.9999
1001243;23.12.2019;31.12.9999
1001248;06.07.2015;31.12.9999
1001249;15.09.2018;31.12.9999
1001250;19.09.2018;31.12.9999
1001254;23.12.2019;31.12.9999
