tn;begin;end
2202393;01.06.2000;31.12.9999
2202399;01.01.2016;31.12.9999
2202400;30.11.2015;31.12.9999
2202402;20.07.2015;31.12.9999
2202403;01.06.2014;31.12.9999
2202407;10.07.2006;31.12.9999
2202407;01.01.2012;31.12.9999
2202409;01.01.2012;31.12.9999
2202409;01.02.2013;31.12.9999
2202409;01.03.2016;31.12.9999
2202410;01.02.2013;31.12.9999
2202412;15.06.1998;31.12.9999
2202412;01.11.1998;31.12.9999
2202412;06.07.2011;31.12.9999
2202412;01.03.2016;31.12.9999
2202413;10.04.2008;31.12.9999
2202414;17.01.2013;31.12.9999
2202416;01.03.2016;31.12.9999
2202417;05.11.2014;31.12.9999
2202419;01.03.2016;31.12.9999
2202421;02.10.2017;31.12.9999
2202422;15.05.2012;31.12.9999
2202423;04.07.2016;31.12.9999
2202424;01.02.2011;31.12.9999
2202424;01.01.2015;31.12.9999
2202427;04.04.2016;31.12.9999
2202428;01.02.2017;31.12.9999
2202429;01.03.2016;31.12.9999
2202431;01.02.2017;31.12.9999
2202432;19.08.2020;31.12.9999
2202435;01.03.2017;31.12.9999
2202439;01.01.2012;31.12.9999
2202440;04.12.2018;31.12.9999
2202441;10.03.2016;31.12.9999
2202443;01.01.2011;31.12.9999
2202444;03.06.2019;31.12.9999
2202445;25.06.2018;31.12.9999
2202447;01.01.2016;31.12.9999
2202448;10.05.2016;31.12.9999
2202450;01.03.2016;31.12.9999
2202451;25.05.2020;31.12.9999
2202453;01.07.2008;31.12.9999
2202453;03.03.2014;31.12.9999
2202455;01.08.2002;31.12.9999
2202455;01.01.2012;31.12.9999
2202455;01.03.2016;31.12.9999
2202456;07.07.2014;31.12.9999
2202457;01.04.2003;31.12.9999
2202459;09.01.2020;31.12.9999
2202460;17.11.2017;31.12.9999
2202462;01.03.2016;31.12.9999
2202463;01.03.2016;31.12.9999
2202464;01.05.2008;31.12.9999
2202465;16.01.2007;31.12.9999
2202466;26.12.2008;31.12.9999
2202467;02.03.2004;31.12.9999
2202468;31.07.2020;31.12.9999
2202469;01.09.2011;31.12.9999
2202470;01.06.2007;31.12.9999
2202471;07.08.2020;31.12.9999
2202472;01.03.2016;31.12.9999
2202473;01.03.2016;31.12.9999
2202476;08.04.2019;31.12.9999
2202477;09.02.2015;31.12.9999
2202478;01.08.2007;31.12.9999
2202479;03.01.2002;31.12.9999
2202480;01.02.2016;31.12.9999
2202482;19.03.2005;31.12.9999
2202482;27.10.2015;31.12.9999
2202483;15.03.2005;31.12.9999
2202483;01.01.2017;31.12.9999
2202484;01.03.2016;31.12.9999
2202485;26.07.1993;31.12.9999
2202485;19.09.2016;31.12.9999
2202486;06.12.2005;31.12.9999
2202486;24.07.2013;31.12.9999
2202489;01.03.2016;31.12.9999
2202493;15.04.2013;31.12.9999
2202495;01.01.2016;31.12.9999
2202497;28.12.2017;31.12.9999
2202498;11.03.2020;31.12.9999
2202499;01.06.2003;31.12.9999
2202499;01.06.2016;31.12.9999
2202500;01.01.2008;31.12.9999
2202504;01.03.2016;31.12.9999
2202505;01.03.2016;31.12.9999
2202505;09.12.2019;31.12.9999
2202506;01.03.2004;31.12.9999
2202508;02.02.2018;31.12.9999
2202509;01.02.2020;31.12.9999
2202521;01.08.2016;31.12.9999
2202522;01.06.2017;31.12.9999
2202524;01.07.2015;31.12.9999
2202525;04.09.2019;31.12.9999
2202530;06.10.2017;31.12.9999
2202532;01.01.2015;31.12.9999
2202533;17.07.2015;31.12.9999
2202536;07.09.2020;31.12.9999
2202537;01.01.2010;31.12.9999
2202537;01.01.2018;31.12.9999
2202538;11.10.2019;31.12.9999
2202539;08.11.2019;31.12.9999
2202541;01.04.2014;31.12.9999
2202542;22.01.2019;31.12.9999
2202543;15.07.2018;31.12.9999
2202544;08.04.2019;31.12.9999
2202545;15.05.2014;31.12.9999
2202546;18.06.2020;31.12.9999
2202547;01.01.2011;31.12.9999
2202548;01.11.2012;31.12.9999
2202549;01.01.2018;31.12.9999
2202552;09.01.2017;31.12.9999
2202554;01.01.2011;31.12.9999
2202554;01.01.2014;31.12.9999
2202554;09.01.2019;31.12.9999
2202555;09.01.2017;31.12.9999
2202558;01.01.2018;31.12.9999
2202559;09.01.2020;31.12.9999
2202560;09.01.2019;31.12.9999
2202561;01.01.2016;31.12.9999
2202562;01.01.2015;31.12.9999
2202563;01.05.2018;31.12.9999
2202564;20.12.2017;31.12.9999
2202565;07.11.2017;31.12.9999
2202566;01.01.2016;31.12.9999
2202568;01.06.2012;31.12.9999
2202568;09.03.2016;31.12.9999
2202569;07.07.2014;31.12.9999
2202571;01.03.2016;31.12.9999
2202572;01.03.2016;31.12.9999
2202577;31.08.2017;31.12.9999
2202580;01.03.2016;31.12.9999
2202590;01.01.2017;31.12.9999
2202596;01.01.2011;31.12.9999
2202597;11.04.2016;31.12.9999
2202601;21.10.2011;31.12.9999
2202602;01.12.2018;31.12.9999
