tn;begin;end
2500483;01.10.2007;31.12.9999
2500484;01.10.2007;31.12.9999
2500485;01.07.2016;31.12.9999
2500486;02.01.2008;31.12.2999
2500487;01.03.2008;31.12.2999
2500488;27.07.2020;31.12.9999
2500489;27.07.2020;31.12.9999
2500490;02.05.2006;31.12.2999
2500492;03.04.2017;31.12.9999
2500493;28.01.2014;31.12.9999
2500494;22.07.2019;31.12.9999
2500495;01.12.2017;31.12.9999
2500496;01.02.2018;31.12.9999
2500497;11.11.2009;31.12.2999
2500498;01.10.2007;31.12.2999
2500499;19.08.2009;31.12.2999
2500500;03.04.2017;31.12.9999
2500501;01.10.2007;31.12.2999
2500502;01.07.2016;31.12.2999
2500503;15.06.2009;31.12.2999
2500504;10.02.2009;31.12.2999
2500505;28.11.2011;31.12.9999
2500506;23.01.2017;31.12.9999
2500507;02.05.2017;31.12.9999
2500508;01.12.2006;31.12.9999
2500509;01.01.2016;31.12.9999
2500510;03.07.2017;31.12.9999
2500511;10.06.2003;31.12.9999
2500513;13.01.2009;31.12.2999
2500514;04.04.2011;31.12.2999
2500515;11.01.2009;31.12.2999
2500516;04.04.2016;31.12.9999
2500517;01.10.2007;31.12.2999
2500518;01.10.2007;31.12.2999
2500519;12.08.2008;31.12.2999
2500520;10.01.2017;31.12.9999
2500521;01.10.2007;31.12.2999
2500522;16.04.2012;31.12.9999
2500523;01.11.2019;31.12.9999
2500524;19.11.2009;31.12.9999
2500524;01.01.2010;31.12.9999
2500526;03.04.2017;31.12.9999
2500527;03.04.2017;31.12.9999
2500528;20.09.2011;31.12.9999
2500529;01.04.2011;31.12.9999
2500530;01.07.2016;31.12.9999
2500531;13.04.2020;31.12.9999
2500533;08.11.2010;31.12.9999
2500536;10.04.2019;31.12.9999
2500537;01.10.2019;31.12.9999
2500538;02.04.2018;31.12.9999
2500541;10.06.2019;31.12.9999
2500543;17.08.2009;31.12.2999
2500546;03.10.2013;31.12.2999
2500547;14.06.2007;31.12.2999
2500547;01.01.2009;31.12.9999
2500548;01.08.2011;31.12.2999
2500548;08.09.2014;31.12.9999
2500549;01.08.2009;31.12.2999
2500549;08.09.2014;31.12.9999
2500550;01.01.2018;31.12.9999
2500552;03.02.2020;31.12.9999
2500553;18.05.2020;31.12.9999
2500555;30.01.2012;31.12.2999
2500555;01.06.2016;31.12.9999
2500558;01.11.2008;31.12.2999
2500558;09.06.2020;31.12.9999
2500559;17.09.2008;31.12.2999
2500564;13.05.2019;31.12.9999
2500565;18.02.2008;31.12.2999
2500565;01.03.2012;31.12.9999
2500566;01.06.2018;31.12.9999
2500567;31.07.2018;31.12.9999
2500569;01.10.2013;31.12.2999
2500570;14.04.2014;31.12.2999
2500571;02.04.2012;31.12.2999
2500572;15.02.2012;31.12.2999
2500573;11.02.2019;31.12.9999
2500574;27.03.2009;31.12.2999
2500574;01.06.2016;31.12.9999
2500575;15.02.2019;31.12.9999
2500578;20.05.2019;31.12.9999
2500583;05.06.2009;31.12.2999
2500583;09.12.2019;31.12.9999
2500584;05.06.2007;31.12.2999
2500584;27.01.2020;31.12.9999
2500589;09.01.2013;31.12.2999
2500589;01.10.2013;31.12.9999
2500590;24.01.2011;31.12.2999
2500592;21.09.2020;31.12.9999
2500596;01.01.2011;31.12.9999
2500596;01.06.2017;31.12.9999
2500601;17.07.2019;31.12.9999
2500608;01.10.2007;31.12.2999
2500613;12.07.2011;31.12.2999
2500614;01.11.2019;31.12.9999
2500619;01.01.2010;31.12.9999
2500621;08.06.2020;31.12.9999
2500622;01.01.2010;31.12.9999
2500624;19.03.2007;31.12.9999
2500630;01.11.2012;31.12.9999
2500632;01.07.2019;31.12.9999
2500635;09.01.2019;31.12.9999
2500639;01.03.2019;31.12.9999
2500640;10.04.2012;31.12.2999
2500642;18.11.2015;31.12.2999
2500643;01.02.2018;31.12.9999
2500644;19.10.2015;31.12.9999
2500645;01.10.2007;31.12.9999
2500646;03.04.2017;31.12.9999
2500647;18.02.2019;31.12.9999
2500648;01.08.2008;31.12.9999
2500650;20.09.2011;31.12.2999
2500657;24.08.2009;31.12.2999
2500660;03.10.2013;31.12.2999
2500660;08.09.2014;31.12.9999
2500661;01.10.2007;31.12.2999
2500662;01.03.2008;31.12.9999
2500663;16.02.2015;31.12.2999
2500663;09.01.2020;31.12.9999
2500664;23.08.2010;31.12.2999
2500665;14.11.2011;31.12.2999
2500666;01.07.2016;31.12.9999
2500669;01.05.2018;31.12.9999
2500671;01.10.2007;31.12.2999
2500672;29.07.2019;31.12.9999
2500674;24.10.2017;31.12.9999
2500675;19.12.2016;31.12.9999
2500676;01.07.2016;31.12.9999
2500677;13.06.2007;31.12.2999
2500677;01.06.2016;31.12.9999
2500678;01.07.2013;31.12.2999
2500678;01.06.2016;31.12.9999
2500680;10.08.2016;31.12.9999
2500681;01.10.2020;31.12.9999
2500682;19.01.2015;31.12.2999
2500684;01.12.2016;31.12.9999
2500685;10.06.2016;31.12.2999
2500688;20.07.2010;31.12.2999
2500689;03.12.2018;31.12.9999
2500690;29.12.2017;31.12.9999
2500691;07.06.2010;31.12.2999
2500692;01.02.2018;31.12.9999
2500693;01.10.2007;31.12.2999
2500693;23.11.2009;31.12.2999
2500694;10.09.2012;31.12.9999
2500696;01.12.2018;31.12.9999
2500697;10.02.2012;31.12.2999
2500698;12.07.2010;31.12.2999
2500700;01.04.2019;31.12.9999
2500701;01.02.2018;31.12.9999
2500702;24.02.2011;31.12.9999
2500703;22.03.2019;31.12.9999
2500704;01.10.2019;31.12.9999
2500705;27.02.2019;31.12.9999
2500706;15.02.2016;31.12.9999
2500708;26.07.2005;31.12.9999
2500709;01.07.2013;31.12.2999
2500710;02.05.2012;31.12.2999
2500710;06.04.2020;31.12.9999
2500713;02.04.2018;31.12.9999
2500714;03.09.2018;31.12.9999
2500716;06.07.2020;31.12.9999
2500718;01.10.2007;31.12.2999
2500719;01.05.2018;31.12.9999
2500720;03.07.2012;31.12.9999
2500721;01.01.2010;31.12.9999
2500722;20.03.2007;31.12.2999
2500723;18.06.2012;31.12.2999
2500724;15.04.2011;31.12.9999
2500725;25.02.2016;31.12.2999
2500726;01.10.2007;31.12.2999
2500727;01.10.2007;31.12.2999
2500728;14.10.2013;31.12.2999
2500729;01.07.2016;31.12.9999
2500730;19.10.2015;31.12.9999
2500731;22.12.2016;31.12.9999
2500733;01.01.2011;31.12.9999
2500734;10.01.2012;31.12.9999
2500736;17.01.2005;31.12.9999
2500737;08.06.1994;31.12.9999
2500738;02.02.2015;31.12.9999
2500739;01.08.2012;31.12.9999
2500748;01.10.2007;31.12.2999
2500749;01.10.2007;31.12.2999
2500751;01.10.2007;31.12.2999
2500753;01.10.2007;31.12.2999
2500755;01.07.1992;31.12.9999
2500756;01.10.2007;31.12.2999
2500762;17.05.2017;31.12.9999
2500764;01.10.2019;31.12.9999
2500769;20.08.2015;31.12.2999
2500772;01.06.2017;31.12.9999
2500784;01.07.2015;31.12.9999
2500784;15.04.2019;31.12.9999
2500785;01.07.2016;31.12.9999
2500786;01.10.2007;31.12.2999
2500787;01.04.2011;31.12.2999
2500788;01.10.2007;31.12.2999
2500789;03.04.2018;31.12.9999
2500790;26.08.2009;31.12.2999
2500791;09.04.2012;31.12.2999
2500792;19.03.2018;31.12.9999
2500793;30.12.2011;31.12.2999
2500794;19.06.2012;31.12.2999
2500797;03.04.2017;31.12.9999
2500798;03.04.2017;31.12.9999
2500799;03.04.2017;31.12.9999
2500801;18.08.2010;31.12.2999
2500802;01.10.2012;31.12.2999
2500803;03.04.2017;31.12.9999
2500807;27.10.2011;31.12.2999
2500808;19.03.2007;31.12.9999
2500809;15.03.2018;31.12.9999
2500810;28.05.2012;31.12.2999
2500811;15.04.2019;31.12.9999
2500812;15.04.2009;31.12.2999
2500813;01.12.2009;31.12.2999
2500814;21.01.2019;31.12.9999
2500815;25.03.2019;31.12.9999
2500816;01.10.2007;31.12.2999
2500817;01.02.2018;31.12.9999
2500818;17.05.2010;31.12.2999
2500819;16.07.2018;31.12.9999
2500820;01.02.2018;31.12.9999
2500823;21.02.2011;31.12.9999
2500824;03.04.2009;31.12.2999
2500825;16.06.2008;31.12.2999
2500826;08.12.2009;31.12.2999
2500827;05.04.2019;31.12.9999
2500828;07.04.2008;31.12.2999
2500830;16.05.2018;31.12.9999
2500831;01.04.2018;31.12.9999
2500832;20.06.2012;31.12.2999
2500833;01.02.2018;31.12.9999
2500834;15.04.2019;31.12.9999
2500835;01.11.2018;31.12.9999
2500836;16.12.2013;31.12.2999
2500837;03.08.2020;31.12.9999
2500840;24.02.2012;31.12.2999
2500841;08.04.2019;31.12.9999
2500842;01.02.2018;31.12.9999
2500845;16.02.2009;31.12.2999
2500846;01.06.2017;31.12.9999
2500847;20.03.2007;31.12.2999
2500847;01.07.2013;31.12.9999
2500848;20.08.2012;31.12.2999
2500849;01.10.2007;31.12.2999
2500850;01.01.2011;31.12.2999
2500851;17.02.2014;31.12.2999
2500852;30.12.2013;31.12.2999
2500853;01.08.2012;31.12.2999
2500854;01.12.2017;31.12.9999
2500855;01.08.2019;31.12.9999
2500856;01.02.2018;31.12.9999
2500857;01.10.2012;31.12.2999
2500858;22.01.2015;31.12.2999
2500860;01.10.2007;31.12.2999
2500861;01.10.2007;31.12.2999
2500862;01.07.2020;31.12.9999
2500864;01.10.2007;31.12.2999
2500865;13.04.2020;31.12.9999
2500866;27.02.2017;31.12.9999
2500867;29.02.2012;31.12.2999
2500868;19.10.2015;31.12.9999
2500869;01.02.2018;31.12.9999
2500870;01.10.2007;31.12.2999
2500871;22.06.2011;31.12.9999
2500873;01.07.2016;31.12.9999
2500875;23.11.2009;31.12.2999
2500876;12.05.2009;31.12.2999
2500877;01.07.2013;31.12.2999
2500878;01.04.2020;31.12.9999
2500879;09.01.2019;31.12.9999
2500884;01.10.2007;31.12.2999
2500885;15.04.2019;31.12.9999
2500886;17.08.2009;31.12.2999
2500888;11.01.2016;31.12.9999
2500890;23.04.2018;31.12.9999
2500891;10.01.2014;31.12.2999
2500892;01.12.2011;31.12.9999
2500892;01.06.2017;31.12.9999
2500893;23.08.2018;31.12.9999
2500894;17.07.2018;31.12.9999
2500895;11.02.2019;31.12.9999
2500899;01.02.2018;31.12.9999
2500900;01.07.2016;31.12.9999
2500902;01.07.2016;31.12.9999
2500904;01.04.2019;31.12.9999
2500905;01.11.2016;31.12.2999
2500907;20.08.2012;31.12.2999
2500907;01.06.2016;31.12.9999
2500908;01.07.2019;31.12.9999
2500911;01.11.2016;31.12.2999
2500912;01.06.2009;31.12.2999
2500912;28.06.2012;31.12.9999
2500913;09.04.2015;31.12.9999
2500914;25.03.2009;31.12.2999
2500915;01.02.2018;31.12.9999
2500917;01.01.2010;31.12.9999
2500918;12.01.2015;31.12.2999
2500919;01.10.2007;31.12.2999
2500921;16.03.2009;31.12.2999
2500922;13.10.2011;31.12.9999
2500926;18.03.2019;31.12.9999
2500932;01.12.2019;31.12.9999
2500935;01.10.2007;31.12.2999
2500938;01.10.2007;31.12.9999
2500940;01.04.2020;31.12.9999
2500942;28.10.2013;31.12.9999
2500949;01.01.2011;31.12.9999
2500951;23.09.2013;31.12.2999
2500951;01.07.2015;31.12.9999
2500954;24.07.2018;31.12.9999
2500956;01.08.2019;31.12.9999
2500957;01.09.2018;31.12.9999
2500958;01.09.2018;31.12.9999
2500961;03.04.2017;31.12.9999
2500963;03.04.2017;31.12.9999
2500964;25.07.2012;31.12.2999
2500965;27.07.2012;31.12.2999
2500967;26.02.2020;31.12.9999
2500970;19.03.2018;31.12.9999
2500971;24.09.2018;31.12.9999
2500973;21.02.2019;31.12.9999
2500975;01.06.2019;31.12.9999
2500979;17.05.2013;31.12.2999
2500982;01.07.2013;31.12.9999
2500983;01.10.2013;31.12.2999
2500986;01.11.2018;31.12.9999
2500988;11.09.2013;31.12.2999
2500990;21.02.2019;31.12.9999
2500993;15.10.2013;31.12.2999
2500994;01.09.2019;31.12.9999
2500995;16.11.2017;31.12.9999
2500997;30.12.2013;31.12.2999
2501000;16.07.2012;31.12.2999
2501000;01.06.2016;31.12.9999
2501001;01.10.2015;31.12.2999
2501001;01.06.2016;31.12.9999
2501003;05.03.2012;31.12.9999
2501004;23.06.2009;31.12.2999
2501007;20.04.2007;31.12.9999
2501007;01.06.2017;31.12.9999
2501008;27.02.2012;31.12.2999
2501008;01.10.2013;31.12.9999
2501010;01.06.2017;31.12.9999
2501013;01.01.2012;31.12.2999
2501013;01.06.2016;31.12.9999
2501014;01.10.2015;31.12.2999
2501014;01.06.2016;31.12.9999
2501015;01.10.2015;31.12.9999
2501015;01.06.2017;31.12.9999
2501016;01.07.2019;31.12.9999
2501017;04.06.2018;31.12.9999
2501021;02.07.2012;31.12.2999
2501024;24.05.2007;31.12.2999
2501024;03.09.2012;31.12.9999
2501025;12.05.2008;31.12.2999
2501027;19.03.2007;31.12.9999
2501028;02.04.2007;31.12.9999
2501029;05.06.2017;31.12.9999
2501031;01.10.2007;31.12.2999
2501032;01.07.2017;31.12.9999
2501034;01.10.2007;31.12.9999
2501035;16.01.2017;31.12.9999
2501037;09.12.2019;31.12.9999
2501038;22.10.2018;31.12.9999
2501039;02.04.2018;31.12.9999
2501040;27.08.2012;31.12.2999
2501040;01.06.2016;31.12.9999
2501041;19.10.2015;31.12.9999
2501042;01.10.2007;31.12.2999
2501044;09.01.2013;31.12.9999
2501045;01.12.2018;31.12.9999
2501046;03.04.2017;31.12.9999
2501047;11.06.2013;31.12.9999
2501048;01.09.2018;31.12.9999
2501059;17.10.1989;31.12.9999
2501063;11.03.2019;31.12.9999
2501064;01.01.2011;31.12.2999
2501065;15.07.2019;31.12.9999
2501066;15.07.2019;31.12.9999
2501070;18.05.2011;31.12.2999
2501071;19.10.2015;31.12.9999
2501075;06.08.2012;31.12.2999
2501078;09.01.2017;31.12.9999
2501079;01.10.2007;31.12.2999
2501080;01.02.2018;31.12.9999
2501080;07.12.2018;31.12.9999
2501081;15.10.2012;31.12.9999
2501083;25.01.2008;31.12.2999
2501084;01.10.2007;31.12.2999
2501085;01.02.2018;31.12.9999
2501086;20.06.2012;31.12.9999
2501086;16.02.2015;31.12.9999
2501086;11.04.2016;31.12.9999
2501087;01.06.2017;31.12.9999
2501088;01.02.2020;31.12.9999
2501089;10.10.2019;31.12.9999
2501090;29.10.2010;31.12.2999
2501091;10.10.2011;31.12.2999
2501091;01.06.2016;31.12.9999
2501092;22.06.2020;31.12.9999
2501094;20.08.2015;31.12.9999
2501104;24.04.2019;31.12.9999
2501109;31.07.2020;31.12.9999
2501111;09.07.2018;31.12.9999
2501120;09.01.2020;31.12.9999
2501122;15.04.2019;31.12.9999
2501123;24.11.2008;31.12.2999
2501123;01.01.2016;31.12.9999
2501124;15.11.2018;31.12.9999
2501126;14.04.2014;31.12.2999
2501127;01.01.2009;31.12.9999
2501127;14.04.2014;31.12.9999
2501128;01.06.2016;31.12.9999
2501129;04.10.2007;31.12.9999
2501130;15.07.2019;31.12.9999
2501132;01.06.2018;31.12.9999
2501133;19.10.2015;31.12.2999
2501134;21.11.2012;31.12.2999
2501135;01.09.2018;31.12.9999
2501136;01.10.2007;31.12.2999
2501137;01.10.2007;31.12.2999
2501138;15.04.2011;31.12.2999
2501139;01.10.2019;31.12.9999
2501140;20.03.2007;31.12.2999
2501141;01.02.2018;31.12.9999
2501142;05.07.2016;31.12.9999
2501143;07.02.2011;31.12.2999
2501145;07.09.2012;31.12.9999
2501146;01.10.2007;31.12.2999
2501147;09.06.2010;31.12.2999
2501148;01.08.2017;31.12.9999
2501149;01.10.2007;31.12.2999
2501150;29.12.2015;31.12.2999
2501151;10.01.2020;31.12.9999
2501153;19.11.2009;31.12.2999
2501154;01.07.2016;31.12.2999
2501155;16.03.2009;31.12.2999
2501156;05.10.2009;31.12.2999
2501157;01.09.2011;31.12.2999
2501158;01.04.2018;31.12.9999
2501159;03.04.2017;31.12.9999
2501160;21.09.2020;31.12.9999
2501161;01.10.2007;31.12.2999
2501162;21.07.2016;31.12.2999
2501163;01.06.2018;31.12.9999
2501164;27.08.2012;31.12.2999
2501165;01.07.2020;31.12.9999
2501166;15.02.2016;31.12.2999
2501166;17.08.2020;31.12.9999
2501167;01.02.2018;31.12.9999
2501169;29.03.2010;31.12.9999
2501170;01.03.2010;31.12.2999
2501171;08.02.2013;31.12.2999
2501172;01.09.2010;31.12.2999
2501173;01.07.2020;31.12.9999
2501174;01.07.2017;31.12.9999
2501175;09.01.2019;31.12.9999
2501176;18.03.2011;31.12.2999
2501177;22.03.2010;31.12.9999
2501178;27.11.2017;31.12.9999
2501180;12.10.2015;31.12.2999
2501181;26.05.2020;31.12.9999
2501182;27.10.2015;31.12.9999
2501183;16.07.2020;31.12.9999
2501184;01.07.2008;31.12.9999
2501185;01.10.2007;31.12.2999
2501186;01.02.2018;31.12.9999
2501187;16.03.2009;31.12.2999
2501188;10.10.2016;31.12.9999
2501189;01.10.2007;31.12.2999
2501190;13.05.2013;31.12.9999
2501191;17.09.2018;31.12.9999
2501192;01.07.2019;31.12.9999
2501193;02.06.2008;31.12.9999
2501194;10.04.2019;31.12.9999
2501195;10.06.2016;31.12.2999
2501197;01.06.2018;31.12.9999
2501198;01.11.2011;31.12.9999
2501200;12.12.2018;31.12.9999
2501201;02.10.2017;31.12.9999
2501202;16.04.2018;31.12.9999
2501203;17.06.2019;31.12.9999
2501204;18.07.2018;31.12.9999
2501205;27.05.2008;31.12.2999
2501213;01.07.2016;31.12.9999
2501218;20.03.2007;31.12.2999
2501221;23.01.2017;31.12.9999
2501223;24.02.2015;31.12.2999
2501224;01.09.2016;31.12.9999
2501225;01.04.2018;31.12.9999
2501226;01.04.2018;31.12.9999
2501227;22.08.2016;31.12.9999
2501228;27.12.2018;31.12.9999
2501229;01.10.2007;31.12.2999
2501230;27.12.2018;31.12.9999
2501231;14.01.2010;31.12.2999
2501232;23.07.2012;31.12.2999
2501233;17.05.2011;31.12.2999
2501234;05.03.2011;31.12.2999
2501235;21.01.2014;31.12.9999
2501236;11.10.2010;31.12.2999
2501237;13.08.2018;31.12.9999
2501238;06.05.2019;31.12.9999
2501239;03.09.2013;31.12.2999
2501240;03.04.2017;31.12.9999
2501241;03.04.2017;31.12.9999
2501242;03.04.2017;31.12.9999
2501243;01.11.2011;31.12.2999
2501244;17.08.2020;31.12.9999
2501245;01.04.2018;31.12.9999
2501246;11.08.2014;31.12.2999
2501248;01.01.2010;31.12.2999
2501249;15.11.2018;31.12.9999
2501258;02.07.2018;31.12.9999
2501263;16.09.2019;31.12.9999
2501264;01.01.2009;31.12.2999
2501266;11.02.2008;31.12.2999
2501267;03.10.2016;31.12.9999
2501275;10.06.2002;31.12.9999
2501277;01.09.2017;31.12.9999
2501278;01.10.2007;31.12.2999
2501279;20.03.2007;31.12.2999
2501283;01.10.2007;31.12.2999
2501284;19.03.2007;31.12.9999
2501286;11.11.2013;31.12.2999
2501287;01.04.2018;31.12.9999
2501290;20.03.2007;31.12.2999
2501295;24.06.2020;31.12.9999
2501297;29.06.2017;31.12.9999
2501300;01.07.2008;31.12.9999
2501305;29.02.2008;31.12.2999
2501307;01.10.2007;31.12.2999
2501308;01.10.2007;31.12.2999
2501309;07.07.2014;31.12.9999
2501313;01.10.2007;31.12.2999
2501314;13.12.1991;31.12.9999
2501315;16.05.2016;31.12.9999
2501316;01.07.2012;31.12.9999
2501317;01.10.2007;31.12.2999
2501318;01.10.2007;31.12.2999
2501320;24.06.1998;31.12.9999
2501322;02.04.2007;31.12.9999
2501324;01.10.2007;31.12.2999
2501325;01.04.2018;31.12.9999
2501328;19.03.2007;31.12.9999
2501331;18.03.1996;31.12.9999
2501332;01.10.2007;31.12.2999
2501335;01.10.2007;31.12.2999
2501336;17.02.2014;31.12.2999
2501338;21.05.2017;31.12.9999
2501339;12.08.2013;31.12.2999
2501340;01.12.2017;31.12.9999
2501341;13.07.2009;31.12.2999
2501344;09.09.2019;31.12.9999
2501345;07.12.2011;31.12.2999
2501346;24.06.2016;31.12.9999
2501348;15.02.2006;31.12.9999
2501349;21.01.2016;31.12.9999
2501350;12.08.2002;31.12.9999
2501351;01.10.2007;31.12.2999
2501352;26.11.2013;31.12.9999
2501354;09.11.2018;31.12.9999
2501355;03.04.2017;31.12.9999
2501356;01.06.2019;31.12.9999
2501357;01.07.2016;31.12.9999
2501358;21.08.2007;31.12.2999
2501359;10.12.2018;31.12.9999
2501360;18.05.2002;31.12.9999
2501362;01.12.2017;31.12.9999
2501363;01.06.2017;31.12.9999
2501365;10.10.2011;31.12.2999
2501368;01.02.2019;31.12.9999
2501370;20.06.2017;31.12.9999
2501371;01.06.2020;31.12.9999
2501372;17.06.2008;31.12.2999
2501373;17.01.2013;31.12.2999
2501374;04.10.2018;31.12.9999
2501375;11.12.2017;31.12.9999
2501376;26.03.2014;31.12.2999
2501377;01.10.2007;31.12.2999
2501378;18.05.2012;31.12.9999
2501379;04.06.2018;31.12.9999
2501380;29.12.2017;31.12.9999
2501381;01.07.2016;31.12.9999
2501382;17.02.2014;31.12.9999
2501383;01.09.2019;31.12.9999
2501384;16.07.2013;31.12.9999
2501385;01.12.2019;31.12.9999
2501386;01.02.2011;31.12.2999
2501387;01.03.2008;31.12.9999
2501388;01.02.2010;31.12.2999
2501390;01.08.2002;31.12.9999
2501392;11.09.2017;31.12.9999
2501393;19.01.2000;31.12.9999
2501394;07.06.2001;31.12.9999
