tn;begin;end
800607;25.01.2010;31.12.9999
800613;01.06.2013;31.12.9999
800617;01.05.2007;31.12.9999
800618;01.05.2007;31.12.9999
800626;05.08.2019;31.12.9999
800627;26.06.2017;31.12.9999
800630;21.09.2020;31.12.9999
800631;01.03.2013;31.12.9999
800635;01.07.2009;31.12.9999
800639;01.10.2012;31.12.9999
800640;01.02.2019;31.12.9999
800644;01.03.2013;31.12.9999
800645;03.12.2013;31.12.9999
800649;30.09.2017;31.12.9999
800651;18.07.2016;31.12.9999
800652;01.01.2010;31.12.9999
800654;01.09.2017;31.12.9999
800656;20.11.2017;31.12.9999
800657;20.02.2017;31.12.9999
800661;28.08.2017;31.12.9999
800681;01.11.2018;31.12.9999
800689;01.12.2018;31.12.9999
800691;26.10.2019;31.12.9999
800692;28.06.2019;31.12.9999
800695;03.07.2017;31.12.9999
800702;18.11.2019;31.12.9999
800706;01.02.2020;31.12.9999
800710;01.03.2019;31.12.9999
800711;16.03.2020;31.12.9999
800712;01.01.2019;31.12.9999
800717;01.06.2019;31.12.9999
800721;01.01.2011;31.12.9999
800722;01.07.2013;31.12.9999
800724;01.09.2020;31.12.9999
800725;16.05.2019;31.12.9999
800726;13.07.2009;31.12.9999
800727;07.08.2017;31.12.9999
800728;14.03.2019;31.12.9999
800729;14.08.2019;31.12.9999
800730;01.11.2018;31.12.9999
800731;01.11.2018;31.12.9999
800732;01.07.2015;31.12.9999
800734;24.07.2017;31.12.9999
800736;01.07.2016;31.12.9999
800738;01.11.2018;31.12.9999
800741;01.08.2017;31.12.9999
800742;03.02.2020;31.12.9999
800743;17.09.2007;31.12.9999
800744;01.05.2007;31.12.9999
800745;17.12.2012;31.12.9999
800748;30.05.2008;31.12.9999
800751;14.06.2017;31.12.9999
800752;16.04.2002;31.12.9999
800761;11.02.2012;31.12.9999
800769;01.01.2019;31.12.9999
800773;29.07.2008;31.12.9999
800774;03.08.2015;31.12.9999
800775;02.06.2007;31.12.9999
800775;25.06.2020;31.12.9999
800781;01.05.2007;31.12.9999
800782;03.02.2020;31.12.9999
800783;10.09.2012;31.12.9999
800784;01.07.2008;31.12.9999
800791;01.05.2007;31.12.9999
800792;01.03.2019;31.12.9999
800793;10.03.2020;31.12.9999
800795;01.03.2019;31.12.9999
800796;28.11.2011;31.12.9999
800799;01.03.2019;31.12.9999
800800;26.08.2013;31.12.9999
800802;03.02.2020;31.12.9999
800803;17.02.2011;31.12.9999
800804;01.05.2019;31.12.9999
800805;22.08.2016;31.12.9999
800805;23.10.2019;31.12.9999
800806;01.03.2019;31.12.9999
800807;01.03.2019;31.12.9999
800809;02.02.2009;31.12.9999
800810;01.02.2019;31.12.9999
800813;01.05.2008;31.12.9999
800816;01.03.2019;31.12.9999
800817;01.03.2019;31.12.9999
800820;01.03.2019;31.12.9999
800823;16.08.2017;31.12.9999
800829;28.07.2014;31.12.9999
800835;10.12.2018;31.12.9999
800838;01.11.2018;31.12.9999
800839;01.03.2019;31.12.9999
800840;01.01.2020;31.12.9999
800841;07.11.2017;31.12.9999
800843;01.12.2018;31.12.9999
800845;01.01.2020;31.12.9999
800846;01.01.2016;31.12.9999
800847;09.01.2020;31.12.9999
800848;01.08.2018;31.12.9999
800849;01.01.2019;31.12.9999
800852;01.01.2019;31.12.9999
800854;01.05.2007;31.12.9999
800855;01.01.2017;31.12.9999
800858;02.01.2016;31.12.9999
800859;01.05.2008;31.12.9999
800860;01.01.2012;31.12.9999
800862;01.01.2020;31.12.9999
800863;08.12.2008;31.12.9999
800865;23.09.2019;31.12.9999
800869;01.06.2011;31.12.9999
800869;09.07.2020;31.12.9999
800871;10.12.2018;31.12.9999
800872;01.11.2018;31.12.9999
800873;01.03.2019;31.12.9999
800875;11.12.2018;31.12.9999
800877;03.10.2016;31.12.9999
800878;01.05.2007;31.12.9999
800879;03.12.2018;31.12.9999
