tn;begin;end
1401827;04.05.2008;31.12.9999
1401828;23.09.2013;31.12.9999
1401829;01.08.2013;31.12.9999
1401830;19.09.2007;31.12.9999
1401831;20.01.2014;31.12.9999
1401832;10.06.2008;31.12.9999
1401833;07.03.2014;31.12.9999
1401835;07.03.2014;31.12.9999
1401836;10.06.2016;31.12.9999
1401837;03.07.2017;31.12.9999
1401838;14.06.2016;31.12.9999
1401840;01.11.2002;31.12.9999
1401841;02.11.2006;31.12.9999
1401842;20.03.2017;31.12.9999
1401843;10.06.2016;31.12.9999
1401844;01.08.2019;31.12.9999
1401846;11.09.2017;31.12.9999
1401847;10.09.2012;31.12.9999
1401848;02.07.2012;31.12.9999
1401849;16.07.2012;31.12.9999
1401850;25.06.2018;31.12.9999
1401852;09.01.2017;31.12.9999
1401853;16.07.2012;31.12.9999
1401854;16.07.2012;31.12.9999
1401855;24.06.2013;31.12.9999
1401856;04.05.2008;31.12.9999
1401858;05.10.2020;31.12.9999
1401861;02.03.2009;31.12.9999
1401862;04.05.2008;31.12.9999
1401863;10.07.2012;31.12.9999
1401867;19.08.2020;31.12.9999
1401869;12.01.2015;31.12.9999
1401870;12.01.2015;31.12.9999
1401871;12.01.2015;31.12.9999
1401872;12.01.2015;31.12.9999
1401873;12.01.2015;31.12.9999
1401874;12.01.2015;31.12.9999
1401876;12.01.2015;31.12.9999
1401878;12.01.2015;31.12.9999
1401880;12.01.2015;31.12.9999
1401884;12.01.2015;31.12.9999
1401886;12.01.2015;31.12.9999
1401887;07.10.2013;31.12.9999
1401888;26.12.2001;31.12.9999
1401889;22.10.2015;31.12.9999
1401889;20.04.2020;31.12.9999
1401890;09.06.2012;31.12.9999
1401892;01.12.2008;31.12.9999
1401894;25.11.2019;31.12.9999
1401896;04.10.2013;31.12.9999
1401897;06.05.2019;31.12.9999
1401898;01.12.2008;31.12.9999
1401900;14.10.2016;31.12.9999
1401902;21.09.2015;31.12.9999
1401903;01.04.2014;31.12.9999
1401904;01.04.2014;31.12.9999
1401906;01.04.2013;31.12.9999
1401907;24.07.2017;31.12.9999
1401908;08.02.2017;31.12.9999
1401909;22.05.2017;31.12.9999
1401911;11.03.2019;31.12.9999
1401912;10.01.2017;31.12.9999
1401913;11.03.2019;31.12.9999
1401914;16.07.2012;31.12.9999
1401915;23.07.2012;31.12.9999
1401916;16.07.2012;31.12.9999
1401917;12.05.2014;31.12.9999
1401918;23.06.2014;31.12.9999
1401919;01.07.2014;31.12.9999
1401920;01.10.2012;31.12.9999
1401923;23.07.2012;31.12.9999
1401924;23.07.2012;31.12.9999
1401925;16.07.2012;31.12.9999
1401926;02.07.2018;31.12.9999
1401928;02.07.2018;31.12.9999
1401934;01.04.2016;31.12.9999
1401938;05.10.2020;31.12.9999
1401940;01.09.2020;31.12.9999
1401941;02.07.2012;31.12.9999
1401946;10.06.2008;31.12.9999
1401948;01.02.1996;31.12.9999
1401951;22.04.2013;31.12.9999
1401952;01.12.2011;31.12.9999
1401956;07.03.2014;31.12.9999
1401959;17.12.2012;31.12.9999
1401959;18.11.2019;31.12.9999
1401962;18.04.1994;31.12.9999
1401963;29.07.2015;31.12.9999
1401966;01.04.2013;31.12.9999
1401970;22.04.2013;31.12.9999
1401972;02.03.2018;31.12.9999
1401973;07.04.2014;31.12.9999
1401974;14.06.2016;31.12.9999
1401975;01.07.2008;31.12.9999
1401977;16.09.2013;31.12.9999
1401978;16.06.2014;31.12.9999
1401979;01.07.2015;31.12.9999
1401980;06.11.2018;31.12.9999
1401981;01.03.2019;31.12.9999
1401982;22.09.2014;31.12.9999
1401987;02.09.2010;31.12.9999
1401988;17.11.2010;31.12.9999
1401989;09.01.2018;31.12.9999
1401990;01.03.2012;31.12.9999
1401992;19.08.2019;31.12.9999
1401993;10.10.2017;31.12.9999
1401994;03.09.2018;31.12.9999
1401996;02.07.2012;31.12.9999
1401997;18.02.2019;31.12.9999
1401998;21.08.2017;31.12.9999
1402000;01.12.2007;31.12.9999
1402002;10.06.2013;31.12.9999
1402003;12.03.2018;31.12.9999
1402004;01.04.2015;31.12.9999
1402006;01.04.2015;31.12.9999
1402007;24.12.2013;31.12.9999
1402011;02.03.2015;31.12.9999
1402012;17.12.2012;31.12.9999
1402013;12.03.2018;31.12.9999
1402015;22.07.2014;31.12.9999
1402016;01.06.2018;31.12.9999
1402017;16.04.2013;31.12.9999
1402024;17.07.2013;31.12.9999
1402025;12.12.2016;31.12.9999
1402026;30.10.2017;31.12.9999
1402027;01.11.2016;31.12.9999
1402028;07.10.2013;31.12.9999
1402029;02.09.2013;31.12.9999
1402030;26.08.2013;31.12.9999
1402031;07.10.2013;31.12.9999
1402032;21.05.2018;31.12.9999
1402033;17.05.2019;31.12.9999
1402034;10.06.2016;31.12.9999
1402042;01.08.2019;31.12.9999
1402044;28.08.2017;31.12.9999
1402045;20.07.2020;31.12.9999
1402046;16.07.2012;31.12.9999
1402047;03.07.2018;31.12.9999
1402048;20.01.2014;31.12.9999
1402049;19.02.2020;31.12.9999
1402050;15.02.2012;31.12.9999
