rp,tn
70,603653
70,603654
70,603655
70,603665
70,603666
70,603671
70,603672
70,603676
70,603677
70,603678
70,603683
70,603684
70,603685
70,603688
70,603689
70,603690
70,603697
,603699
70,603699
70,603703
70,603704
70,603706
70,603707
70,603708
70,603709
70,603710
70,603711
70,603712
70,603713
70,603714
70,603715
70,603717
70,603719
70,603722
70,603724
70,603726
70,603728
70,603730
70,603731
70,603734
70,603736
70,603738
70,603740
70,603744
70,603746
70,603747
70,603749
70,603753
70,603754
70,603755
70,603757
70,603760
70,603763
70,603764
70,603767
70,603769
70,603770
,603771
70,603771
70,603772
70,603774
70,603775
70,603776
70,603777
70,603778
70,603779
70,603780
70,603782
70,603784
70,603786
70,603787
70,603788
70,603789
70,603790
70,603791
70,603792
70,603793
70,603794
70,603795
70,603796
70,603797
70,603798
70,603800
70,603801
,603802
70,603802
70,603803
70,603804
70,603805
70,603807
70,603808
70,603809
70,603810
,603811
70,603811
70,603812
70,603813
70,603814
70,603815
70,603816
70,603817
70,603818
70,603819
70,603820
70,603822
70,603823
70,603824
70,603826
70,603827
70,603829
70,603830
70,603831
70,603833
70,603834
70,603835
70,603836
70,603838
70,603839
70,603841
70,603842
70,603844
70,603845
70,603846
70,603847
70,603848
70,603849
70,603850
70,603851
70,603852
70,603853
70,603854
70,603856
70,603859
70,603860
70,603861
70,603862
70,603863
70,603864
70,603866
70,603867
70,603868
70,603869
70,603871
70,603872
70,603877
70,603879
70,603881
70,603884
70,603885
70,603886
70,603888
70,603889
70,603890
70,603891
70,603892
70,603893
70,603894
70,603896
70,603897
70,603898
70,603900
70,603901
70,603903
70,603904
70,603905
70,603907
70,603909
70,603912
70,603914
70,603915
70,603916
70,603917
70,603918
70,603920
70,603921
70,603923
70,603924
70,603925
70,603926
70,603929
70,603930
70,603931
70,603932
70,603933
70,603934
70,603935
70,603937
70,603945
70,603946
70,603948
70,603950
70,603951
70,603952
70,603955
70,603959
70,603960
70,603963
70,603964
70,603965
70,603966
70,603967
70,603969
70,603976
70,603977
70,603978
70,603979
70,603980
70,603981
70,603983
70,603988
70,603990
70,603991
70,603993
70,603994
70,603995
70,603998
70,603999
70,604000
70,604001
70,604002
70,604003
70,604004
70,604006
70,604008
70,604010
70,604013
70,604014
70,604016
70,604017
70,604018
70,604019
70,604020
70,604021
70,604022
70,604026
70,604027
70,604029
70,604032
70,604033
70,604034
70,604036
70,604037
70,604039
70,604040
70,604041
70,604042
70,604045
70,604046
70,604048
70,604049
70,604051
70,604052
70,604053
70,604054
70,604055
70,604056
70,604057
70,604058
70,604059
70,604061
70,604064
70,604065
70,604068
70,604070
70,604071
70,604075
70,604080
70,604081
70,604083
70,604090
70,604092
70,604093
70,604094
70,604095
70,604102
70,604106
70,604107
70,604108
70,604110
70,604113
70,604114
70,604115
70,604117
70,604119
70,604120
70,604129
70,604130
70,604131
70,604132
70,604134
70,604135
70,604136
70,604140
70,604141
70,604142
70,604143
70,604144
70,604145
70,604146
70,604147
70,604148
70,604149
70,604152
70,604156
70,604159
70,604166
70,604168
70,604172
70,604174
70,604175
70,604184
70,604186
70,604187
70,604188
70,604190
70,604191
70,604192
70,604199
70,604200
70,604203
70,604206
70,604217
70,604227
70,604229
70,604230
70,604231
70,604232
70,604233
70,604234
70,604235
70,604236
70,604237
70,604238
70,604239
70,604240
70,604241
70,604242
70,604243
70,604246
70,604247
70,604248
70,604251
70,604252
70,604254
70,604257
70,604258
70,604259
70,604260
70,604261
70,604263
70,604264
70,604267
70,604270
70,604272
70,604275
70,604276
70,604278
70,604279
70,604280
70,604281
70,604282
70,604283
70,604285
70,604287
70,604289
70,604291
70,604292
70,604293
70,604295
70,604296
70,604298
70,604301
70,604302
70,604303
70,604305
70,604307
70,604308
70,604309
70,604311
70,604312
70,604313
70,604314
70,604315
70,604316
70,604317
70,604318
70,604319
70,604320
70,604323
70,604324
70,604325
70,604326
70,604327
70,604329
70,604330
70,604333
70,604334
70,604335
70,604337
70,604339
70,604340
70,604341
70,604343
70,604344
70,604346
70,604350
70,604351
70,604352
70,604353
70,604355
70,604356
70,604357
70,604358
70,604359
70,604360
70,604361
70,604362
70,604363
70,604364
70,604365
70,604366
70,604368
70,604369
70,604370
70,604372
70,604373
70,604374
70,604375
70,604376
70,604377
70,604378
70,604379
70,604380
70,604381
70,604383
70,604385
70,604386
70,604387
70,604388
70,604389
70,604390
70,604392
70,604393
70,604394
70,604395
70,604396
70,604397
70,604398
70,604399
70,604400
70,604402
70,604403
70,604404
70,604405
70,604406
70,604408
70,604409
70,604410
70,604411
70,604412
70,604413
70,604414
70,604416
70,604417
70,604418
70,604419
70,604420
70,604421
70,604423
70,604425
70,604426
70,604427
70,604428
70,604429
70,604430
70,604431
70,604432
70,604433
70,604434
70,604435
70,604437
70,604438
70,604439
70,604440
70,604441
70,604442
70,604443
70,604444
70,604445
70,604446
70,604447
70,604448
70,604449
70,604450
70,604452
70,604453
70,604456
70,604461
70,604466
70,604467
70,604469
70,604470
70,604471
70,604472
70,604473
70,604474
70,604475
70,604476
70,604477
70,604478
70,604479
70,604480
70,604481
70,604482
70,604486
70,604489
70,604490
70,604491
70,604492
70,604493
70,604495
70,604496
70,604497
70,604498
70,604499
70,604500
70,604501
70,604502
70,604504
70,604505
70,604506
70,604507
70,604508
70,604510
70,604511
70,604512
70,604513
70,604514
70,604515
70,604518
70,604519
70,604520
70,604521
70,604522
70,604523
70,604524
70,604525
70,604526
70,604527
70,604528
70,604530
70,604531
70,604532
70,604533
70,604534
70,604535
70,604536
70,604537
70,604538
70,604539
70,604541
70,604542
70,604549
70,604550
70,604551
70,604552
70,604553
70,604554
70,604555
70,604556
70,604557
70,604558
70,604559
70,604560
70,604561
70,604562
70,604565
70,604567
70,604568
70,604569
70,604570
70,604571
70,604572
70,604573
70,604574
70,604576
70,604577
70,604579
70,604580
70,604581
70,604582
70,604587
70,604588
70,604590
70,604593
70,604595
70,604596
70,604597
70,604598
70,604600
70,604602
70,604603
70,604604
70,604605
70,604607
70,604609
70,604610
70,604612
70,604614
70,604618
70,604620
70,604621
70,604622
70,604624
70,604628
70,604630
70,604631
70,604633
70,604637
70,604638
70,604639
70,604640
70,604642
70,604645
70,604647
70,604649
70,604651
70,604652
70,604654
70,604659
70,604662
70,604663
70,604665
70,604666
70,604667
70,604668
70,604669
70,604670
70,604672
70,604673
70,604674
70,604675
70,604676
70,604677
70,604679
70,604681
70,604684
70,604685
70,604687
70,604688
70,604689
70,604690
70,604691
70,604694
70,604695
70,604696
70,604698
70,604701
70,604702
70,604705
70,604707
70,604709
70,604710
70,604711
70,604712
70,604713
70,604716
70,604718
70,604720
70,604721
70,604722
70,604723
70,604724
70,604725
70,604726
70,604727
70,604730
70,604731
70,604732
70,604733
70,604735
70,604736
70,604737
70,604738
70,604739
70,604748
70,604749
70,604750
70,604752
70,604755
70,604756
70,604757
70,604758
70,604762
70,604766
70,604767
70,604769
70,604770
70,604778
70,604781
70,604783
70,604784
70,604785
70,604786
70,604787
70,604788
70,604794
70,604795
70,604796
70,604797
70,604799
70,604800
70,604801
70,604803
70,604804
70,604805
70,604806
70,604807
70,604808
70,604810
70,604811
70,604814
70,604816
70,604817
70,604818
70,604819
70,604820
70,604821
70,604824
70,604825
70,604826
70,604829
70,604830
70,604832
70,604834
70,604836
70,604837
70,604838
70,604840
70,604841
70,604842
70,604843
70,604844
70,604847
70,604849
70,604852
70,604853
70,604854
70,604856
70,604857
70,604858
70,604859
70,604861
70,604862
70,604863
70,604865
70,604866
70,604868
70,604869
70,604870
70,604873
70,604875
70,604877
70,604881
70,604882
70,604883
70,604884
70,604886
70,604887
70,604888
70,604891
70,604893
70,604894
70,604895
70,604896
70,604897
70,604898
70,604899
70,604900
70,604901
70,604903
70,604904
70,604905
70,604906
70,604909
70,604916
70,604917
70,604918
70,604919
70,604920
70,604921
70,604922
70,604924
70,604925
70,604926
70,604927
70,604929
70,604932
70,604933
70,604934
70,604935
70,604936
70,604937
70,604938
70,604941
70,604942
70,604943
70,604944
70,604946
70,604949
70,604950
70,604951
70,604953
70,604956
70,604957
70,604958
70,604959
70,604960
70,604961
70,604962
70,604964
70,604966
70,604967
70,604970
70,604971
70,604972
70,604973
70,604976
70,604978
70,604981
70,604982
70,604988
70,604989
70,604993
70,604994
70,604996
70,604999
70,605001
70,605002
70,605003
70,605004
70,605005
70,605007
70,605008
70,605009
70,605010
70,605011
70,605013
70,605014
70,605015
70,605016
70,605017
70,605018
70,605019
70,605020
70,605021
70,605022
70,605023
70,605025
70,605026
70,605027
70,605028
70,605029
70,605030
70,605031
70,605032
70,605035
70,605036
70,605037
70,605039
70,605041
70,605046
70,605048
70,605049
70,605051
70,605052
70,605053
70,605056
70,605057
70,605058
70,605059
70,605060
70,605061
70,605062
70,605063
70,605064
70,605065
70,605066
70,605067
70,605069
70,605071
70,605073
70,605074
70,605075
70,605076
70,605077
70,605078
70,605079
70,605081
70,605082
70,605083
70,605084
70,605085
70,605086
70,605087
70,605088
70,605090
70,605091
70,605092
70,605093
70,605094
70,605095
70,605096
70,605097
70,605098
70,605099
70,605100
70,605101
70,605102
70,605103
70,605104
70,605105
70,605106
70,605117
70,605118
70,605121
70,605122
70,605123
70,605124
70,605125
70,605126
70,605128
70,605130
70,605131
70,605132
70,605133
70,605134
70,605135
70,605137
70,605140
70,605141
70,605142
70,605143
70,605144
70,605146
70,605148
70,605151
70,605152
70,605153
70,605156
70,605157
70,605158
70,605164
70,605165
70,605166
70,605167
70,605168
70,605171
70,605175
70,605176
70,605177
70,605179
70,605181
70,605182
70,605183
70,605187
70,605188
70,605189
70,605190
70,605191
70,605193
70,605194
70,605195
70,605197
70,605198
70,605199
70,605201
70,605202
70,605203
70,605204
70,605205
70,605206
70,605208
70,605209
70,605210
70,605211
70,605212
70,605213
70,605217
70,605220
70,605221
70,605223
70,605225
70,605226
70,605227
70,605228
70,605231
70,605232
70,605234
70,605235
70,605236
70,605237
70,605239
70,605241
70,605242
70,605245
70,605246
70,605247
70,605248
70,605249
70,605251
70,605252
70,605253
70,605255
70,605257
70,605258
70,605260
70,605262
70,605263
70,605264
70,605265
70,605266
70,605267
70,605269
70,605272
70,605273
70,605274
70,605275
70,605278
70,605281
70,605284
70,605285
70,605287
70,605288
70,605290
70,605291
70,605293
70,605295
70,605297
70,605298
70,605301
70,605302
70,605303
70,605306
70,605307
70,605308
70,605310
70,605313
70,605314
70,605315
70,605316
70,605317
70,605319
70,605320
70,605321
70,605323
70,605324
70,605327
70,605328
70,605329
70,605332
70,605333
70,605334
70,605335
70,605336
70,605337
70,605339
70,605341
70,605342
70,605343
70,605344
70,605345
70,605346
70,605347
70,605348
