tn;begin;end
2000811;26.09.2019;31.12.9999
2000812;01.07.2013;31.12.9999
2000813;25.12.2003;31.12.9999
2000814;23.05.2005;31.12.2999
2000815;01.07.2013;31.12.2999
2000818;01.08.2016;01.01.2099
2000818;01.08.2016;31.12.9999
2000819;18.02.2020;31.12.9999
2000821;18.02.2020;31.12.9999
2000823;01.02.2015;31.12.9999
2000824;01.01.2014;31.12.9999
2000825;01.07.2013;31.12.9999
2000826;17.07.2013;01.01.2099
2000827;15.07.2013;31.12.9999
2000830;01.07.2019;31.12.9999
2000833;01.09.2019;31.12.9999
2000836;01.04.2010;01.01.2099
2000836;04.02.2008;31.12.9999
2000836;01.04.2010;31.12.9999
2000837;16.05.2011;31.12.2099
2000838;27.06.2011;31.12.2099
2000842;01.03.2010;31.12.9999
2000843;01.01.2015;01.01.2099
2000848;01.04.2020;31.12.9999
2000849;01.10.2013;01.01.2099
2000853;18.02.2020;31.12.9999
2000854;01.04.2010;31.12.9999
2000855;01.04.2010;31.12.2099
2000856;05.11.2019;31.12.9999
2000857;01.04.2009;31.12.2099
2000858;01.04.2010;31.12.2099
2000859;01.04.2010;01.01.2099
2000861;05.05.2015;01.01.2099
2000862;01.01.2015;01.01.2099
2000863;01.01.2015;01.01.2099
2000865;10.05.2011;31.12.9999
2000866;04.09.2019;31.12.9999
2000870;16.05.2012;01.01.2099
2000871;12.04.2011;01.01.2099
2000872;29.08.2011;01.01.2099
2000872;29.08.2011;31.12.9999
2000876;23.03.1995;31.12.2099
2000877;01.01.2012;31.12.2099
2000878;17.11.2014;31.12.9999
2000879;01.07.2010;01.01.2099
2000881;10.04.2020;31.12.9999
2000883;01.04.2020;31.12.9999
2000885;05.07.2013;01.01.2099
2000888;13.03.2013;31.12.9999
2000891;07.09.2009;31.12.9999
2000892;15.07.2019;31.12.9999
2000894;22.07.2008;01.01.2099
2000895;01.07.2020;31.12.9999
2000896;18.11.2016;01.01.2099
2000897;29.12.2014;01.01.2099
2000898;01.10.2014;31.12.9999
2000899;03.04.2017;01.01.2099
2000900;15.07.2013;01.01.2099
2000901;05.03.2015;01.01.2099
2000902;01.04.2010;01.01.2099
2000904;20.02.2008;01.01.2099
2000905;30.08.2013;01.01.2099
2000906;19.08.2013;01.01.2099
2000907;01.10.2007;01.01.2099
2000909;02.09.2013;31.12.9999
2000911;01.07.2013;01.01.2099
2000912;23.07.2007;01.01.2099
2000914;01.06.2019;31.12.9999
2000915;01.08.2013;01.01.2099
2000916;01.01.2010;01.01.2099
2000917;15.07.2019;31.12.9999
2000918;08.08.2011;01.01.2099
2000920;05.03.2015;01.01.2099
2000921;24.05.2011;31.12.9999
2000923;01.07.2018;31.12.9999
2000924;01.01.2015;31.12.9999
2000925;01.06.2020;31.12.9999
2000926;01.09.2015;31.12.2099
2000927;03.02.2015;31.12.9999
2000928;01.07.2018;31.12.9999
2000929;24.05.2011;01.01.2099
2000930;01.12.2018;31.12.9999
2000931;19.12.2016;01.01.2099
2000932;08.09.2014;31.12.9999
2000934;09.01.2017;31.12.9999
2000937;01.08.2013;31.12.9999
2000938;08.10.2008;31.12.9999
2000941;01.09.2019;31.12.9999
2000944;01.10.2007;31.12.9999
2000945;01.01.2010;31.12.9999
2000946;01.01.2015;01.01.2099
2000947;04.02.2008;31.12.9999
2000948;05.11.2014;01.01.2099
2000949;25.07.2016;31.12.9999
2000950;01.03.2017;31.12.9999
2000951;01.04.2019;31.12.9999
2000952;01.08.2015;01.01.2099
2000954;26.03.2014;31.12.9999
2000955;09.02.2015;31.12.9999
2000956;01.08.2015;31.12.9999
2000957;01.05.2009;31.12.9999
2000958;14.05.2013;01.01.2099
2000960;20.03.2017;31.12.9999
2000961;01.07.2015;01.01.2099
2000962;04.02.2008;31.12.9999
2000963;01.12.2014;31.12.9999
2000964;22.10.2009;31.12.9999
2000965;28.09.2018;31.12.9999
2000966;14.05.2013;31.12.9999
2000967;03.07.2006;31.12.9999
2000968;01.02.2020;31.12.9999
