rp;tn;begin;end
70;602621;01.09.2014;31.12.9999
70;602625;05.04.2011;31.12.9999
70;602627;10.04.2008;31.12.9999
70;602627;11.02.2013;31.12.9999
70;602627;01.03.2014;31.12.9999
70;602627;05.04.2018;31.12.9999
70;602627;23.07.2018;31.12.9999
70;602631;19.01.2010;31.12.9999
70;602632;10.02.2003;31.12.9999
70;602632;01.05.2013;31.12.9999
70;602634;01.11.2004;31.12.9999
70;602634;07.11.2016;31.12.9999
70;602634;01.04.2019;31.12.9999
70;602638;24.01.2011;31.12.9999
70;602638;13.01.2014;31.12.9999
70;602638;27.10.2014;31.12.9999
70;602641;01.01.2010;31.12.9999
70;602641;21.01.2013;31.12.9999
70;602642;02.04.2018;31.12.9999
70;602644;05.04.2004;31.12.9999
70;602644;01.01.2010;31.12.9999
70;602645;07.04.2014;31.12.9999
70;602650;01.05.2014;31.12.9999
70;602651;21.11.2011;31.12.9999
70;602651;01.07.2014;31.12.9999
70;602651;10.08.2016;31.12.9999
70;602651;01.01.2017;31.12.9999
70;602651;20.01.2020;31.12.9999
70;602652;21.01.2013;31.12.9999
70;602653;01.01.2019;31.12.9999
70;602654;01.02.2012;31.12.9999
70;602656;02.11.2010;31.12.9999
70;602656;11.02.2014;31.12.9999
70;602664;30.07.2011;31.12.9999
70;602664;01.01.2020;31.12.9999
70;602666;14.07.2014;31.12.9999
70;602667;01.08.2001;31.12.9999
70;602667;01.07.2014;31.12.9999
70;602667;01.01.2016;31.12.9999
70;602669;11.01.2010;31.12.9999
70;602669;01.01.2018;31.12.9999
70;602671;20.02.2018;31.12.9999
70;602673;27.02.2007;31.12.9999
70;602673;15.02.2010;31.12.9999
70;602676;23.12.2015;31.12.9999
70;602678;25.01.2012;31.12.9999
70;602682;24.02.2015;31.12.9999
70;602687;20.10.2004;31.12.9999
70;602689;01.02.2020;31.12.9999
70;602691;02.01.2010;31.12.9999
70;602695;01.02.2005;31.12.9999
70;602695;01.01.2014;31.12.9999
70;602695;01.06.2016;31.12.9999
70;602695;04.08.2017;31.12.9999
70;602695;20.11.2018;31.12.9999
70;602695;13.07.2020;31.12.9999
70;602698;01.01.2013;31.12.9999
70;602698;02.03.2015;31.12.9999
70;602698;01.05.2015;31.12.9999
70;602700;01.01.2010;31.12.9999
70;602700;01.07.2014;31.12.9999
70;602700;19.01.2017;31.12.9999
70;602700;01.03.2017;31.12.9999
70;602701;18.08.2011;31.12.9999
70;602701;06.06.2019;31.12.9999
70;602702;28.05.1998;31.12.9999
70;602702;20.11.2012;31.12.9999
70;602702;01.05.2019;31.12.9999
70;602703;01.02.2011;31.12.9999
70;602704;01.01.2013;31.12.9999
70;602704;01.03.2020;31.12.9999
70;602706;01.01.2012;31.12.9999
70;602706;01.01.2015;31.12.9999
70;602708;01.01.2012;31.12.9999
70;602709;19.11.2009;31.12.9999
70;602711;05.12.2016;31.12.9999
70;602713;01.03.2020;31.12.9999
