tn;begin;end
1501039;01.01.2018;31.12.9999
1501041;01.09.2014;31.12.9999
1501043;01.01.2018;31.12.9999
1501044;01.07.2015;31.12.9999
1501045;01.01.2018;31.12.9999
1501047;02.11.2012;31.12.9999
1501048;01.01.2019;31.12.9999
1501049;05.02.2018;31.12.9999
1501050;31.12.2014;31.12.9999
1501050;17.10.2017;31.12.9999
1501051;01.01.2016;31.12.9999
1501052;01.01.2014;31.12.9999
1501053;01.01.2018;31.12.9999
1501053;01.01.2020;31.12.9999
1501054;25.01.2000;31.12.9999
1501054;01.01.2014;31.12.9999
1501055;01.01.2018;31.12.9999
1501056;16.03.2020;31.12.9999
1501059;01.01.2019;31.12.9999
1501060;01.05.2011;31.12.9999
1501061;27.02.2019;31.12.9999
1501061;08.04.2020;31.12.9999
1501062;01.04.2020;31.12.9999
1501063;01.01.2018;31.12.9999
1501063;01.04.2020;31.12.9999
1501065;01.01.2017;31.12.9999
1501066;31.07.2020;31.12.9999
1501067;01.01.2018;31.12.9999
1501067;01.05.2020;31.12.9999
1501068;01.01.2018;31.12.9999
1501068;01.01.2019;31.12.9999
1501072;03.11.1999;31.12.9999
1501076;08.07.1996;31.12.9999
1501077;01.07.2015;31.12.9999
1501081;28.01.2020;31.12.9999
1501082;23.11.2015;31.12.9999
1501083;22.01.2007;31.12.9999
1501083;28.01.2020;31.12.9999
1501084;03.05.1989;31.12.9999
1501084;28.01.2020;31.12.9999
1501085;25.03.2020;31.12.9999
1501087;01.01.2018;31.12.9999
1501088;21.08.2015;31.12.9999
1501089;01.01.2018;31.12.9999
1501090;27.07.2015;31.12.9999
1501091;24.09.2015;31.12.9999
1501093;01.01.2018;31.12.9999
1501095;12.12.2014;31.12.9999
1501097;01.01.2018;31.12.9999
1501098;12.12.2014;31.12.9999
1501100;01.01.2018;31.12.9999
1501101;28.01.2020;31.12.9999
1501103;01.01.2020;31.12.9999
1501105;01.01.2020;31.12.9999
1501106;01.01.2020;31.12.9999
1501107;01.01.2012;31.12.9999
1501108;19.02.2018;31.12.9999
1501109;01.01.2020;31.12.9999
1501110;24.03.2006;31.12.9999
1501112;03.04.2006;31.12.9999
1501112;01.04.2015;31.12.9999
1501114;23.09.2002;31.12.9999
1501115;10.05.2017;31.12.9999
1501120;25.08.2020;31.12.9999
1501121;01.01.2018;31.12.9999
1501122;01.01.2019;31.12.9999
1501123;01.01.2019;31.12.9999
1501124;22.01.2018;31.12.9999
1501125;01.01.2015;31.12.9999
1501126;01.01.2014;31.12.9999
1501127;01.01.2017;31.12.9999
1501128;01.11.2019;31.12.9999
1501129;01.01.2020;31.12.9999
1501131;01.01.2019;31.12.9999
1501132;01.01.2018;31.12.9999
1501133;13.08.2013;31.12.9999
1501135;01.01.2020;31.12.9999
1501136;08.06.2015;31.12.9999
1501139;26.05.2014;31.12.9999
1501139;01.01.2019;31.12.9999
1501140;09.01.2019;31.12.9999
1501141;09.01.2019;31.12.9999
1501142;04.05.2007;31.12.9999
1501144;09.01.2019;31.12.9999
1501145;01.11.2008;31.12.9999
1501146;30.12.2015;31.12.9999
1501147;01.09.2017;31.12.9999
1501149;01.07.2015;31.12.9999
1501150;08.08.2019;31.12.9999
1501151;01.12.2005;31.12.9999
1501152;01.01.2014;31.12.9999
1501153;22.12.2015;31.12.9999
1501154;01.04.2020;31.12.9999
1501155;01.01.2011;31.12.9999
1501155;01.01.2012;31.12.9999
1501156;12.05.1994;31.12.9999
1501156;05.02.2004;31.12.9999
1501157;01.03.2020;31.12.9999
1501158;28.03.2014;31.12.9999
1501159;01.07.2015;31.12.9999
1501160;02.09.2019;31.12.9999
1501161;01.01.2012;31.12.9999
1501162;01.10.2018;31.12.9999
1501163;23.02.1995;31.12.9999
1501164;18.05.2015;31.12.9999
1501165;14.03.2014;31.12.9999
1501167;14.03.2006;31.12.9999
1501168;01.03.2020;31.12.9999
1501169;09.01.2007;31.12.9999
1501171;22.06.2015;31.12.9999
1501173;01.12.2015;31.12.9999
1501174;27.03.2020;31.12.9999
1501175;01.06.2006;31.12.9999
1501176;19.06.2016;31.12.9999
1501177;01.01.2016;31.12.9999
1501178;02.12.2014;31.12.9999
1501179;01.12.2015;31.12.9999
1501180;23.10.2018;31.12.9999
1501183;01.01.2014;31.12.9999
1501185;01.12.1990;31.12.9999
1501187;01.01.2018;31.12.9999
1501188;01.01.2019;31.12.9999
1501189;20.05.2020;31.12.9999
1501191;07.11.2006;31.12.9999
1501191;05.07.2017;31.12.9999
1501194;25.03.2016;31.12.9999
1501196;03.11.2004;31.12.9999
1501196;01.01.2012;31.12.9999
1501197;01.01.2018;31.12.9999
1501198;02.03.2020;31.12.9999
1501201;01.03.2014;31.12.9999
1501203;28.01.2002;31.12.9999
1501204;16.11.2015;31.12.9999
1501205;19.05.2014;31.12.9999
1501206;03.02.2004;31.12.9999
1501207;02.03.2020;31.12.9999
1501208;02.03.2020;31.12.9999
1501209;02.03.2020;31.12.9999
