;Табельный номер;Количество ошибок
454;603921;2
455;603923;2
456;603924;2
457;603925;2
458;603926;2
459;603931;2
460;603932;6
461;603934;2
462;603937;2
463;603945;3
464;603946;3
465;603948;2
466;603950;2
467;603951;3
468;603959;5
469;603960;4
470;603963;2
471;603964;3
472;603965;4
473;603966;2
474;603967;4
475;603969;3
476;603976;3
477;603977;3
478;603978;5
479;603979;2
480;603980;3
481;603981;3
482;603983;2
483;603990;2
484;603994;2
485;603999;2
486;604000;3
487;604001;5
488;604002;2
489;604006;3
490;604008;2
491;604013;2
492;604014;7
493;604018;3
494;604019;5
495;604020;2
496;604021;4
497;604022;3
498;604026;3
499;604027;4
500;604029;5
501;604033;2
502;604034;2
503;604037;4
504;604039;2
505;604040;7
506;604042;4
507;604045;2
508;604046;4
509;604048;6
510;604049;3
511;604051;2
512;604052;5
513;604053;3
514;604054;2
515;604055;2
516;604056;3
517;604057;3
518;604059;2
519;604065;2
520;604068;2
521;604070;2
522;604071;2
523;604075;3
524;604081;3
525;604083;4
526;604090;4
527;604092;2
528;604093;4
529;604094;2
530;604095;2
531;604110;3
532;604120;3
533;604130;2
534;604131;5
535;604132;2
536;604134;2
537;604135;5
538;604140;3
539;604141;3
540;604142;4
541;604143;5
542;604144;2
543;604146;3
544;604149;3
545;604152;2
546;604156;2
547;604159;2
548;604166;2
549;604175;2
550;604186;2
551;604191;3
552;604192;3
553;604200;2
554;604203;2
555;604206;3
556;604227;2
557;604231;2
558;604234;3
559;604236;2
560;604237;2
561;604239;2
562;604240;2
563;604241;3
564;604242;2
565;604243;2
566;604248;2
567;604251;2
568;604257;2
569;604259;2
570;604260;2
571;604261;2
572;604263;2
573;604264;4
574;604270;4
575;604272;2
576;604275;2
577;604276;4
578;604279;2
579;604280;3
580;604282;2
581;604283;4
582;604285;2
583;604287;2
584;604291;2
585;604298;2
586;604301;2
587;604302;2
588;604303;4
589;604305;3
590;604307;2
591;604308;4
592;604309;2
593;604311;7
594;604312;7
595;604313;2
596;604315;4
597;604316;4
598;604317;4
599;604318;4
600;604319;5
601;604320;3
602;604323;2
603;604324;3
604;604325;4
605;604326;3
606;604327;4
607;604333;2
608;604334;3
609;604337;3
610;604339;3
611;604340;2
612;604341;2
613;604343;5
614;604344;2
615;604346;4
616;604350;5
617;604351;4
618;604352;3
619;604353;5
620;604355;3
621;604356;3
622;604357;3
623;604358;2
624;604359;3
625;604360;5
626;604361;2
627;604364;3
628;604369;4
629;604370;2
630;604373;2
631;604374;3
632;604375;5
633;604376;4
634;604377;4
635;604379;2
636;604380;3
637;604381;3
638;604382;4
639;604385;4
640;604387;3
641;604388;3
642;604390;5
643;604393;4
644;604394;4
645;604395;2
646;604397;4
647;604398;2
648;604400;4
649;604402;2
650;604404;2
651;604405;3
652;604406;2
653;604408;3
654;604409;4
655;604410;3
656;604411;3
657;604412;3
658;604413;4
659;604414;2
660;604416;2
661;604417;3
662;604418;2
663;604419;3
664;604421;3
665;604423;2
666;604425;2
667;604426;2
668;604427;3
669;604431;5
670;604433;2
671;604434;2
672;604437;6
673;604438;3
674;604440;2
675;604441;2
676;604442;2
677;604444;3
678;604445;3
679;604446;2
680;604449;3
681;604450;3
682;604456;4
683;604461;2
684;604466;3
685;604467;2
686;604469;3
687;604471;2
688;604472;2
689;604473;7
690;604474;4
691;604475;6
692;604479;2
693;604480;3
694;604481;4
695;604482;5
696;604486;6
697;604489;5
698;604490;5
699;604495;3
700;604496;2
