tn;begin;end
1801129;05.11.2019;31.12.9999
1801130;13.08.2013;31.12.9999
1801130;28.01.2014;31.12.9999
1801131;06.08.2019;31.12.9999
1801132;06.08.2019;31.12.9999
1801134;25.06.2019;31.12.9999
1801135;05.10.2020;31.12.9999
1801138;04.06.2019;31.12.9999
1801139;16.04.2018;31.12.9999
1801140;11.04.2019;31.12.9999
1801141;30.07.2010;31.12.9999
1801142;19.06.2018;31.12.9999
1801143;18.02.2019;31.12.9999
1801144;28.10.2008;31.12.9999
1801145;16.11.2009;31.12.9999
1801146;30.07.2012;31.12.9999
1801147;08.09.2014;31.12.9999
1801149;22.09.2010;31.12.9999
1801150;14.04.2015;31.12.9999
1801151;20.08.2012;31.12.9999
1801152;29.12.2011;31.12.9999
1801153;04.02.2020;31.12.9999
1801154;11.05.2012;31.12.9999
1801154;08.09.2014;31.12.9999
1801155;11.05.2012;31.12.9999
1801155;08.09.2014;31.12.9999
1801158;11.05.2012;31.12.9999
1801158;08.09.2014;31.12.9999
1801159;01.06.2012;31.12.9999
1801159;08.09.2014;31.12.9999
1801163;08.09.2014;31.12.9999
1801164;09.08.1994;31.12.9999
1801168;18.01.2010;31.12.9999
1801170;05.09.2013;31.12.9999
1801172;03.03.2008;31.12.9999
1801173;13.03.2019;31.12.9999
1801174;13.05.2010;31.12.9999
1801175;03.06.2009;31.12.9999
1801176;19.09.2008;31.12.9999
1801177;01.09.2006;31.12.9999
1801179;11.12.2008;31.12.9999
1801180;24.04.2006;31.12.9999
1801181;08.08.2012;31.12.9999
1801182;08.08.2011;31.12.9999
1801183;02.03.2015;31.12.9999
1801184;11.08.2017;31.12.9999
1801185;30.07.2012;31.12.9999
1801186;30.10.2017;31.12.9999
1801188;06.04.2001;31.12.9999
1801190;28.05.2020;31.12.9999
1801191;01.01.2019;31.12.9999
1801193;01.03.2011;31.12.9999
1801194;02.07.2008;31.12.9999
1801195;21.10.2019;31.12.9999
1801204;01.03.2004;31.12.9999
1801205;31.03.2014;31.12.9999
1801208;01.02.2013;31.12.9999
1801215;22.04.2002;31.12.9999
1801216;16.11.2017;31.12.9999
1801218;17.11.2017;31.12.9999
1801221;08.04.2002;31.12.9999
1801222;29.07.2008;31.12.9999
1801223;06.09.2017;31.12.9999
1801224;07.09.2016;31.12.9999
1801226;03.09.2019;31.12.9999
1801228;14.12.2012;31.12.9999
1801229;12.12.2012;31.12.9999
1801229;08.09.2014;31.12.9999
1801230;31.08.2012;31.12.9999
1801231;25.06.2020;31.12.9999
1801233;08.05.2014;31.12.9999
1801234;21.09.2017;31.12.9999
1801237;01.04.2005;31.12.9999
1801239;04.12.2017;31.12.9999
1801241;12.04.2019;31.12.9999
1801244;22.08.2012;31.12.9999
1801244;11.12.2019;31.12.9999
1801248;09.07.2020;31.12.9999
1801252;02.07.2018;31.12.9999
1801253;01.10.2014;31.12.9999
1801255;01.01.2010;31.12.9999
1801256;03.11.2010;31.12.9999
1801257;16.12.2013;31.12.9999
1801258;11.10.2011;31.12.9999
1801259;12.11.2019;31.12.9999
1801260;13.08.2012;31.12.9999
1801262;02.09.2016;31.12.9999
1801263;28.02.2013;01.01.9999
1801263;29.05.2017;31.12.9999
1801264;11.09.2015;31.12.9999
1801265;01.08.2012;31.12.9999
1801267;12.11.2012;31.12.9999
1801268;19.12.2012;31.12.9999
1801272;01.04.2020;31.12.9999
1801275;03.01.1996;31.12.9999
1801276;03.04.2014;31.12.9999
1801277;02.12.2011;31.12.9999
1801278;24.06.2011;31.12.9999
1801279;27.01.2012;31.12.9999
1801280;21.09.2020;31.12.9999
1801281;01.09.2014;31.12.9999
1801282;05.06.2017;31.12.9999
1801283;19.05.2010;31.12.9999
1801285;24.06.2019;31.12.9999
1801287;23.07.2019;31.12.9999
1801289;30.12.2016;31.12.9999
1801291;25.11.2015;31.12.9999
1801292;01.08.2006;31.12.9999
1801293;08.07.2015;31.12.9999
1801294;20.03.2012;31.12.9999
1801296;07.07.2019;31.12.9999
1801298;20.06.2011;31.12.9999
1801299;17.11.2016;31.12.9999
1801300;11.07.2017;31.12.9999
1801301;01.04.2013;31.12.9999
1801302;01.01.2019;31.12.9999
1801305;04.09.2017;31.12.9999
1801306;25.06.2018;31.12.9999
1801307;12.04.2019;31.12.9999
1801310;25.07.2018;31.12.9999
1801311;30.12.2019;31.12.9999
1801312;31.12.2014;31.12.9999
1801313;01.04.2020;31.12.9999
1801314;12.04.2019;31.12.9999
1801315;21.06.2012;31.12.9999
1801317;01.02.2008;31.12.9999
1801318;01.11.2005;31.12.9999
1801318;12.09.2016;31.12.9999
1801319;01.06.2017;31.12.9999
1801321;01.01.2019;31.12.9999
1801322;12.04.2016;31.12.9999
1801323;06.08.2018;31.12.9999
1801324;18.02.2019;31.12.9999
1801325;08.08.2014;31.12.9999
1801326;07.07.2020;31.12.9999
1801327;17.02.2014;31.12.9999
1801329;06.07.2011;31.12.9999
1801331;31.12.2015;31.12.9999
1801332;10.06.2019;31.12.9999
1801333;25.06.2012;31.12.9999
1801334;15.01.2004;31.12.9999
1801334;31.12.2013;31.12.9999
1801335;06.07.2009;31.12.9999
1801338;12.08.2019;31.12.9999
1801339;18.12.2007;31.12.9999
1801340;08.06.1993;31.12.9999
1801341;15.09.1998;31.12.9999
1801344;29.10.2018;31.12.9999
1801346;26.05.2020;31.12.9999
1801347;19.09.2016;31.12.9999
1801349;10.12.1997;31.12.9999
1801350;10.05.2011;31.12.9999
1801351;01.10.2020;31.12.9999
1801352;23.01.2014;31.12.9999
1801353;17.06.2019;31.12.9999
1801354;26.12.2011;31.12.9999
1801354;03.12.2018;31.12.9999
1801355;01.04.2013;31.12.9999
1801356;25.09.2017;31.12.9999
1801357;13.02.2019;31.12.9999
1801358;25.03.2019;31.12.9999
1801360;01.10.2020;31.12.9999
1801362;07.06.2010;31.12.9999
1801363;03.12.2019;31.12.9999
1801364;26.04.2004;31.12.9999
1801365;01.10.2004;31.12.9999
1801366;12.08.2020;31.12.9999
1801367;24.10.1995;31.12.9999
1801367;01.01.2010;31.12.9999
1801368;12.10.2012;31.12.9999
1801369;28.01.2020;31.12.9999
1801370;01.01.2019;31.12.9999
1801371;28.01.2009;31.12.9999
1801372;13.09.2018;31.12.9999
1801373;12.02.2013;31.12.9999
1801374;19.04.2013;31.12.9999
1801375;13.12.2013;31.12.9999
1801376;11.04.2012;31.12.9999
1801376;16.04.2019;31.12.9999
1801377;14.11.2014;31.12.9999
1801378;14.07.2003;31.12.9999
1801379;21.02.2014;31.12.9999
1801381;29.07.2009;31.12.9999
1801382;10.05.2012;31.12.9999
1801384;17.07.2019;31.12.9999
1801385;12.11.2018;31.12.9999
1801386;11.03.2008;31.12.9999
1801387;01.09.2016;31.12.9999
1801388;29.01.2007;31.12.9999
1801390;07.04.2011;31.12.9999
1801390;03.02.2015;31.12.9999
1801391;08.02.2012;31.12.9999
1801392;14.07.2016;31.12.9999
1801394;15.12.2011;31.12.9999
1801399;16.03.2020;31.12.9999
1801400;24.12.2018;31.12.9999
1801405;04.05.2018;31.12.9999
1801406;17.10.2011;31.12.9999
1801408;20.08.2001;31.12.9999
1801412;01.01.2019;31.12.9999
1801413;12.03.2015;31.12.9999
1801417;11.02.2013;31.12.9999
1801418;17.10.2018;31.12.9999
1801419;07.08.2017;31.12.9999
1801420;29.07.2019;31.12.9999
1801424;01.01.2019;31.12.9999
1801427;21.08.2013;31.12.9999
1801429;19.07.2013;31.12.9999
1801429;12.04.2019;31.12.9999
1801431;17.01.2013;31.12.9999
1801431;19.08.2014;31.12.9999
1801432;11.11.2013;31.12.9999
1801432;12.04.2019;31.12.9999
1801436;24.06.2019;31.12.9999
1801438;16.02.2017;31.12.9999
1801439;24.10.2019;31.12.9999
1801440;30.05.2012;31.12.9999
1801441;26.05.2020;31.12.9999
1801447;11.06.2019;31.12.9999
1801449;21.02.2014;31.12.9999
1801450;28.01.2016;31.12.9999
1801451;05.11.2019;31.12.9999
1801453;24.07.2014;31.12.9999
1801454;04.04.2016;31.12.9999
1801456;25.06.2007;31.12.9999
