tn;begin;end
2101042;01.01.2020;31.12.9999
2101043;01.01.2018;31.12.9999
2101044;09.01.2018;31.12.9999
2101045;06.04.2018;31.12.9999
2101048;09.09.2020;31.12.9999
2101049;01.01.2018;31.12.9999
2101050;17.02.2020;31.12.9999
2101051;15.02.2018;31.12.9999
2101052;23.04.2018;31.12.9999
2101053;09.01.2017;31.12.9999
2101054;28.04.2014;31.12.9999
2101057;26.10.2018;31.12.9999
2101059;15.05.2008;31.12.9999
2101060;18.11.2013;31.12.9999
2101062;05.12.2018;31.12.9999
2101063;01.01.2018;31.12.9999
2101065;05.05.2014;31.12.9999
2101067;30.10.2012;31.12.9999
2101071;01.01.2018;31.12.9999
2101072;01.01.2020;31.12.9999
2101074;17.06.2019;31.12.9999
2101075;31.12.2019;31.12.9999
2101076;04.06.2007;31.12.9999
2101079;01.01.2020;31.12.9999
2101080;20.07.2015;31.12.9999
2101081;11.02.2019;31.12.9999
2101084;30.03.2017;31.12.9999
2101085;02.07.2018;31.12.9999
2101086;03.12.2013;31.12.9999
2101087;15.08.2016;31.12.9999
2101088;27.06.2017;31.12.9999
2101089;01.01.2020;31.12.9999
2101090;25.05.2018;31.12.9999
2101091;12.02.2020;31.12.9999
2101092;09.01.2017;31.12.9999
2101093;17.04.2017;31.12.9999
2101094;12.01.2015;31.12.9999
2101096;24.11.2014;31.12.9999
2101097;08.11.2017;31.12.9999
2101098;01.01.2010;31.12.9999
2101099;26.08.2019;31.12.9999
2101100;09.01.2019;31.12.9999
2101102;01.01.2018;31.12.9999
2101106;01.06.2009;31.12.9999
2101107;01.01.2017;31.12.9999
2101108;09.11.2012;31.12.9999
2101109;01.01.2020;31.12.9999
2101113;29.09.2020;31.12.9999
2101115;25.09.2017;31.12.9999
2101118;14.10.2020;31.12.9999
2101125;27.06.2012;31.12.9999
2101126;01.01.2016;31.12.9999
2101127;30.03.2020;31.12.9999
2101128;16.04.2013;31.12.9999
2101129;09.01.2018;31.12.9999
2101131;20.02.2020;31.12.9999
2101132;26.10.2018;31.12.9999
2101133;07.09.2017;31.12.9999
2101137;09.01.2018;31.12.9999
2101141;09.01.2020;31.12.9999
2101144;01.03.2019;31.12.9999
2101151;09.11.2015;31.12.9999
2101151;01.03.2019;31.12.9999
2101154;18.09.2020;31.12.9999
2101155;17.02.2020;31.12.9999
2101156;07.09.2017;31.12.9999
2101157;25.09.2017;31.12.9999
2101160;26.07.2016;31.12.9999
2101160;01.09.2018;31.12.9999
2101161;25.12.2017;31.12.9999
2101162;25.10.2018;31.12.9999
2101163;01.06.2018;31.12.9999
2101164;31.01.2020;31.12.9999
2101165;26.07.2016;31.12.9999
2101166;16.06.2017;31.12.9999
2101170;16.12.2019;31.12.9999
2101171;14.12.2015;31.12.9999
2101175;29.04.2019;31.12.9999
2101176;11.11.2019;31.12.9999
2101181;16.04.2018;31.12.9999
2101183;09.01.2020;31.12.9999
2101186;01.12.2016;31.12.9999
2101188;22.04.2019;31.12.9999
2101190;14.11.2018;31.12.9999
2101191;01.01.2018;31.12.9999
2101194;09.01.2019;31.12.9999
2101196;01.01.2019;31.12.9999
2101198;01.09.2020;31.12.9999
2101200;05.06.2020;31.12.9999
2101202;19.09.2016;31.12.9999
2101203;01.01.2016;31.12.9999
2101204;01.04.2013;31.12.9999
2101207;01.04.2007;31.12.9999
2101208;11.01.2016;31.12.9999
2101209;08.07.2020;31.12.9999
2101210;21.05.2013;31.12.9999
2101211;21.05.2013;31.12.9999
2101212;30.12.2016;31.12.9999
2101213;22.12.2017;31.12.9999
2101214;01.06.2017;31.12.9999
2101215;09.01.2017;31.12.9999
2101216;01.10.2013;31.12.9999
2101217;03.08.2020;31.12.9999
2101218;29.09.2020;31.12.9999
2101219;03.06.2013;31.12.9999
2101220;29.01.2016;31.12.9999
2101221;12.01.2015;31.12.9999
2101223;09.01.2018;31.12.9999
2101225;11.12.2017;31.12.9999
2101226;28.03.2016;31.12.9999
2101230;09.01.2018;31.12.9999
2101231;15.02.2012;31.12.9999
2101232;16.07.2020;31.12.9999
2101233;05.11.2013;31.12.9999
2101235;06.06.2019;31.12.9999
2101236;29.04.2019;31.12.9999
2101238;01.08.2002;31.12.9999
2101239;17.02.2020;31.12.9999
2101240;05.12.2013;31.12.9999
2101246;02.04.2018;31.12.9999
2101247;03.08.2020;31.12.9999
2101248;18.06.2020;31.12.9999
2101249;14.04.2020;31.12.9999
2101252;28.05.2001;31.12.9999
2101253;01.01.2014;31.12.9999
2101255;03.08.2010;31.12.9999
2101258;01.01.2016;31.12.9999
2101260;17.07.2019;31.12.9999
2101261;01.01.2020;31.12.9999
2101263;01.01.2018;31.12.9999
2101266;01.01.2019;31.12.9999
2101268;01.09.2016;31.12.9999
2101270;01.01.2019;31.12.9999
2101271;02.05.2012;31.12.9999
2101272;02.05.2012;31.12.9999
2101277;17.03.2014;31.12.9999
2101278;27.01.2017;31.12.9999
2101279;29.04.2019;31.12.9999
2101281;17.06.2019;31.12.9999
2101282;06.06.2018;31.12.9999
2101283;04.06.2018;31.12.9999
2101285;31.05.2019;31.12.9999
2101286;01.01.2020;31.12.9999
2101287;17.02.2020;31.12.9999
2101288;04.09.2015;31.12.9999
2101291;21.01.2019;31.12.9999
2101292;05.08.2019;31.12.9999
2101293;01.01.2018;31.12.9999
2101295;17.06.2020;31.12.9999
2101297;03.07.2017;31.12.9999
2101299;21.05.2019;31.12.9999
2101301;10.08.2020;31.12.9999
2101305;11.04.2017;31.12.9999
2101306;12.01.2015;31.12.9999
2101307;11.01.2016;31.12.9999
2101311;09.01.2018;31.12.9999
2101312;21.09.2018;31.12.9999
2101313;23.09.2020;31.12.9999
2101314;01.01.2018;31.12.9999
2101315;01.02.2019;31.12.9999
2101316;01.03.2019;31.12.9999
2101317;16.06.2015;31.12.9999
2101318;24.11.2015;31.12.9999
2101319;09.01.2019;31.12.9999
2101320;01.04.2016;31.12.9999
2101322;09.06.2015;31.12.9999
2101328;01.01.2020;31.12.9999
2101330;03.04.2018;31.12.9999
2101331;01.01.2019;31.12.9999
2101332;01.07.2019;31.12.9999
2101335;09.01.2017;31.12.9999
2101336;02.08.2016;31.12.9999
2101337;09.01.2019;31.12.9999
2101339;02.03.2020;31.12.9999
2101341;11.04.2018;31.12.9999
2101342;16.03.2020;31.12.9999
2101343;01.01.2020;31.12.9999
2101346;10.05.2016;31.12.9999
2101347;30.01.2020;31.12.9999
2101349;01.01.2019;31.12.9999
2101351;04.03.2019;31.12.9999
2101352;11.12.2018;31.12.9999
2101353;09.01.2018;31.12.9999
2101355;09.01.2018;31.12.9999
2101356;24.02.2015;31.12.9999
2101357;01.01.2020;31.12.9999
2101359;01.09.2020;31.12.9999
2101363;11.05.2016;31.12.9999
2101370;09.01.2018;31.12.9999
2101372;09.01.2018;31.12.9999
2101383;09.01.2017;31.12.9999
2101384;20.07.2020;31.12.9999
2101385;01.01.2020;31.12.9999
2101386;26.08.1991;31.12.9999
2101387;01.01.2011;31.12.9999
2101388;14.06.2006;31.12.9999
2101389;09.01.2018;31.12.9999
2101390;02.10.2014;31.12.9999
2101391;24.01.2008;31.12.9999
2101394;05.03.2013;31.12.9999
2101395;01.01.2016;31.12.9999
2101398;16.06.2008;31.12.9999
2101400;02.09.2019;31.12.9999
2101401;19.10.1987;31.12.9999
2101403;26.05.1992;31.12.9999
2101406;19.03.2019;31.12.9999
2101407;17.02.2020;31.12.9999
2101411;03.08.2020;31.12.9999
2101413;09.01.2018;31.12.9999
2101414;01.09.2016;31.12.9999
