tn;begin;end
900967;19.05.2014;31.12.9999
900968;02.09.2013;31.12.9999
900969;01.04.2020;31.12.9999
900971;01.01.2016;31.12.9999
900972;20.09.2013;31.12.9999
900973;22.01.2018;31.12.9999
900974;29.07.2014;31.12.9999
900975;02.03.2009;31.12.9999
900975;09.01.2014;31.12.9999
900975;01.01.2016;31.12.9999
900975;21.01.2020;31.12.9999
900976;29.07.2014;31.12.9999
900977;23.12.2019;31.12.9999
900978;14.12.2018;31.12.9999
900979;17.12.2015;31.12.9999
900980;09.12.2013;31.12.9999
900981;22.05.2019;31.12.9999
900982;26.03.2013;31.12.9999
900983;12.07.2018;31.12.9999
900984;29.02.2020;31.12.9999
900987;22.09.2017;31.12.9999
900988;01.02.2017;31.12.9999
900991;01.07.1999;31.12.9999
900991;07.07.2017;31.12.9999
900993;11.01.2009;31.12.9999
900994;01.01.2016;31.12.9999
900995;11.04.2013;31.12.9999
900996;27.04.2020;31.12.9999
900998;07.04.2005;31.12.9999
900998;01.09.2014;31.12.9999
901000;08.04.2002;31.12.9999
901000;01.04.2020;31.12.9999
901001;01.04.2020;31.12.9999
901002;01.04.2013;31.12.9999
901003;28.12.2016;31.12.9999
901004;17.12.2012;31.12.9999
901005;05.07.2018;31.12.9999
901006;01.09.2012;31.12.9999
901007;03.10.2017;31.12.9999
901008;08.11.2017;31.12.9999
901009;22.07.1997;31.12.9999
901009;26.03.2013;31.12.9999
901010;08.08.2012;31.12.9999
901011;05.10.2020;31.12.9999
901012;04.05.2009;31.12.9999
901018;02.12.2019;31.12.9999
901019;12.11.2014;31.12.9999
901020;23.09.2020;31.12.9999
901021;16.04.2014;31.12.9999
901022;29.01.2020;31.12.9999
901023;01.08.2020;31.12.9999
901027;24.10.2016;31.12.9999
901028;01.04.2020;31.12.9999
901029;19.06.2020;31.12.9999
901030;22.05.2000;31.12.9999
901030;01.07.2015;31.12.9999
901031;02.12.2019;31.12.9999
901035;20.07.2011;31.12.9999
901036;11.04.2008;31.12.9999
901037;01.10.2013;31.12.9999
901044;14.03.2013;31.12.9999
901045;01.04.2020;31.12.9999
901046;09.11.2015;31.12.9999
901048;15.07.2013;31.12.9999
901049;16.04.2013;31.12.9999
901049;25.06.2018;31.12.9999
901050;01.01.2016;31.12.9999
901053;21.09.2010;31.12.9999
901053;18.06.2018;31.12.9999
901055;02.12.2019;31.12.9999
901056;01.08.2020;31.12.9999
901058;01.09.2015;31.12.9999
901061;01.08.2020;31.12.9999
901062;08.11.2010;31.12.9999
901062;19.07.2017;31.12.9999
901066;01.07.2016;31.12.9999
901068;18.05.2020;31.12.9999
901073;01.01.2010;31.12.9999
901073;01.06.2011;31.12.9999
901073;02.12.2019;31.12.9999
901074;15.03.2010;31.12.9999
901074;26.01.2018;31.12.9999
901075;24.08.2018;31.12.9999
901077;01.02.2002;31.12.9999
901078;01.12.2014;31.12.9999
901079;05.05.2011;31.12.9999
901081;19.08.2019;31.12.9999
901082;03.09.2012;31.12.9999
901083;01.07.2015;31.12.9999
901084;19.08.2019;31.12.9999
901085;16.07.2012;31.12.9999
901085;30.01.2017;31.12.9999
901089;28.01.2015;31.12.9999
901090;26.06.2018;31.12.9999
901091;01.04.2020;31.12.9999
901093;02.09.2014;31.12.9999
901094;10.03.2006;31.12.9999
901094;01.01.2010;31.12.9999
901094;21.02.2014;31.12.9999
901096;09.12.2019;31.12.9999
901099;06.04.2020;31.12.9999
901103;15.09.2004;31.12.9999
901103;17.12.2013;31.12.9999
901104;11.04.1994;31.12.9999
901104;05.11.2014;31.12.9999
901105;23.07.2012;31.12.9999
901108;01.08.2020;31.12.9999
901110;19.08.2019;31.12.9999
901112;01.08.2014;31.12.9999
901114;09.12.2019;31.12.9999
901115;01.11.2013;31.12.9999
901116;20.11.2012;31.12.9999
901116;14.08.2015;31.12.9999
901118;09.04.2012;31.12.9999
901119;01.03.2011;31.12.9999
901119;01.09.2014;31.12.9999
901121;16.12.2019;31.12.9999
901122;23.12.2019;31.12.9999
901124;21.11.2011;31.12.9999
901124;01.09.2015;31.12.9999
